Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2010-09-15,120.65,120.65,120.65,120.25,1,1
2010-09-16,,,,119.7,-1,
2010-09-17,119.6,119.6,119.6,120.92,1,3003
2010-09-21,,,,122.7,-1,
2010-09-22,,,,120.98,-1,
2010-09-23,,,,122.07,-1,
2010-09-24,,,,122.69,-1,
2010-09-27,,,,123.05,-1,
2010-09-28,123.05,123.05,123.05,123.51,1,162
2010-09-29,,,,124.35,-1,
2010-09-30,,,,123.43,-1,
2010-10-01,,,,124.2,-1,
2010-10-04,,,,122.93,-1,
2010-10-05,,,,125.86,-1,
2010-10-06,,,,126.25,-1,
2010-10-07,,,,125.76,-1,
2010-10-08,,,,126.29,-1,
2010-10-11,,,,127.41,-1,
2010-10-12,,,,127.13,-1,
2010-10-13,,,,129.53,-1,
2010-10-14,,,,129.17,-1,
2010-10-15,,,,129.22,-1,
2010-10-18,,,,129.05,-1,
2010-10-19,,,,128.41,-1,
2010-10-20,,,,128.65,-1,
2010-10-21,,,,128.59,-1,
2010-10-22,,,,128.39,-1,
2010-10-25,,,,130.2,-1,
2010-10-26,,,,129.7,-1,
2010-10-27,129.1804,127.5,127.5,127.5,1,6266
2010-10-28,,,,128.38,-1,
2010-10-29,,,,128.75,-1,
2010-11-01,,,,128.71,-1,
2010-11-02,,,,129.38,-1,
2010-11-03,,,,130.18,-1,
2010-11-04,,,,133.47,-1,
2010-11-05,,,,134.6,-1,
2010-11-08,,,,134.46,-1,
2010-11-09,,,,134.59,-1,
2010-11-10,,,,133.43,-1,
2010-11-11,,,,133.57,-1,
2010-11-12,,,,133.19,-1,
2010-11-15,,,,133.21,-1,
2010-11-16,,,,129.84,-1,
2010-11-17,,,,130.27,-1,
2010-11-18,,,,132.98,-1,
2010-11-19,,,,132.65,-1,
2010-11-22,,,,132.65,-1,
2010-11-23,,,,131.28,-1,
2010-11-24,,,,134.84,-1,
2010-11-26,,,,134.64,-1,
2010-11-30,,,,132.73,-1,
2010-12-01,,,,136.11,-1,
2010-12-02,,,,137.26,-1,
2010-12-03,,,,137.79,-1,
2010-12-06,,,,139.22,-1,
2010-12-07,,,,141.02,-1,
2010-12-08,,,,140.33,-1,
2010-12-09,,,,140.29,-1,
2010-12-10,,,,140.85,-1,
2010-12-13,,,,142.35,-1,
2010-12-14,,,,142.0,-1,
2010-12-15,,,,142.45,-1,
2010-12-16,,,,141.93,-1,
2010-12-17,,,,142.06,-1,
2010-12-20,,,,143.02,-1,
2010-12-21,,,,143.91,-1,
2010-12-22,,,,144.53,-1,
2010-12-23,,,,144.89,-1,
2010-12-24,,,,144.53,-1,
2010-12-29,,,,144.7,-1,
2010-12-30,,,,145.05,-1,
2010-12-31,,,,144.43,-1,
2011-01-04,,,,144.23,-1,
2011-01-05,,,,145.68,-1,
2011-01-06,,,,145.61,-1,
2011-01-07,,,,144.53,-1,
2011-01-10,143.66,143.66,143.66,144.1,1,3003
2011-01-11,,,,146.58,-1,
2011-01-12,,,,147.65,-1,
2011-01-13,,,,147.59,-1,
2011-01-14,,,,147.33,-1,
2011-01-17,,,,147.9,-1,
2011-01-18,,,,147.57,-1,
2011-01-19,,,,146.89,-1,
2011-01-20,,,,143.61,-1,
2011-01-21,,,,144.1,-1,
2011-01-24,,,,144.58,-1,
2011-01-25,,,,143.52,-1,
2011-01-26,,,,146.42,-1,
2011-01-27,,,,146.21,-1,
2011-01-28,,,,145.37,-1,
2011-01-31,,,,145.67,-1,
2011-02-01,,,,147.83,-1,
2011-02-02,,,,148.4,-1,
2011-02-03,,,,148.13,-1,
2011-02-04,,,,148.14,-1,
2011-02-07,,,,151.09,-1,
2011-02-08,,,,150.86,-1,
2011-02-09,,,,150.38,-1,
2011-02-10,,,,151.31,-1,
2011-02-11,,,,152.38,-1,
2011-02-14,,,,153.705,-1,
2011-02-15,,,,153.565,-1,
2011-02-16,,,,154.275,-1,
2011-02-17,,,,154.945,-1,
2011-02-18,,,,155.57,-1,
2011-02-21,154.79,154.79,154.79,153.91,1,7450
2011-02-22,,,,154.01,-1,
2011-02-23,,,,149.995,-1,
2011-02-24,,,,149.36,-1,
2011-02-25,151.39,151.39,151.39,151.1,2,1400
2011-02-28,152.4,152.4,152.4,152.84,1,1400
2011-03-01,,,,152.01,-1,
2011-03-02,,,,150.915,-1,
2011-03-03,152.1,152.1,152.1,153.465,1,1400
2011-03-04,154.55,154.55,154.55,153.14,1,200
2011-03-07,153.78,153.78,153.78,151.03,1,230
2011-03-08,,,,153.25,-1,
2011-03-09,,,,152.395,-1,
2011-03-10,,,,149.43,-1,
2011-03-11,,,,148.88,-1,
2011-03-14,,,,148.06,-1,
2011-03-15,,,,147.41,-1,
2011-03-16,,,,147.41,-1,
2011-03-17,,,,147.48,-1,
2011-03-18,,,,147.85,-1,
2011-03-21,,,,150.795,-1,
2011-03-22,,,,150.145,-1,
2011-03-23,,,,149.835,-1,
2011-03-24,,,,151.725,-1,
2011-03-25,,,,154.0,-1,
2011-03-28,,,,153.08,-1,
2011-03-29,,,,153.305,-1,
2011-03-30,,,,154.74,-1,
2011-03-31,,,,155.31,-1,
2011-04-01,,,,157.135,-1,
2011-04-04,,,,157.31,-1,
2011-04-05,,,,157.915,-1,
2011-04-06,,,,157.745,-1,
2011-04-07,158.19,158.19,158.19,157.415,1,7500
2011-04-08,,,,156.525,-1,
2011-04-11,,,,155.485,-1,
2011-04-12,,,,152.615,-1,
2011-04-13,,,,153.24,-1,
2011-04-14,,,,152.395,-1,
2011-04-15,,,,154.385,-1,
2011-04-18,,,,151.77,-1,
2011-04-19,,,,152.085,-1,
2011-04-20,,,,155.765,-1,
2011-04-21,,,,156.64,-1,
2011-04-26,,,,158.905,-1,
2011-04-27,,,,158.27,-1,
2011-04-28,,,,160.1,-1,
2011-05-03,,,,157.78,-1,
2011-05-04,157.29,157.29,157.29,155.45,1,150
2011-05-05,,,,155.53,-1,
2011-05-06,,,,157.9,-1,
2011-05-09,,,,156.68,-1,
2011-05-10,,,,158.915,-1,
2011-05-11,,,,158.575,-1,
2011-05-12,,,,157.76,-1,
2011-05-13,,,,157.13,-1,
2011-05-16,,,,156.575,-1,
2011-05-17,,,,153.2,-1,
2011-05-18,,,,155.02,-1,
2011-05-19,,,,155.505,-1,
2011-05-20,,,,154.935,-1,
2011-05-23,,,,153.0,-1,
2011-05-24,,,,152.715,-1,
2011-05-25,,,,153.59,-1,
2011-05-26,,,,154.135,-1,
2011-05-27,,,,156.7,-1,
2011-05-31,,,,157.37,-1,
2011-06-01,,,,156.465,-1,
2011-06-02,,,,153.305,-1,
2011-06-03,,,,152.11,-1,
2011-06-06,,,,150.84,-1,
2011-06-07,,,,150.125,-1,
2011-06-08,,,,148.425,-1,
2011-06-09,,,,148.585,-1,
2011-06-10,,,,146.575,-1,
2011-06-13,,,,146.66,-1,
2011-06-14,,,,148.515,-1,
2011-06-15,,,,147.8,-1,
2011-06-16,,,,147.23,-1,
2011-06-17,,,,147.66,-1,
2011-06-20,,,,147.395,-1,
2011-06-21,,,,150.735,-1,
2011-06-22,,,,151.625,-1,
2011-06-23,,,,148.015,-1,
2011-06-24,,,,149.76,-1,
2011-06-27,,,,149.7,-1,
2011-06-28,150.065,150.065,150.065,151.325,1,17000
2011-06-29,,,,153.335,-1,
2011-06-30,,,,155.04,-1,
2011-07-01,156.68,156.68,156.68,156.625,2,3000
2011-07-04,157.61,157.61,157.61,157.675,1,3634
2011-07-05,156.89,156.89,156.89,157.03,1,634
2011-07-06,,,,157.78,-1,
2011-07-07,,,,160.67,-1,
2011-07-08,,,,158.35,-1,
2011-07-11,,,,156.475,-1,
2011-07-12,,,,156.125,-1,
2011-07-13,,,,157.88,-1,
2011-07-14,,,,155.325,-1,
2011-07-15,,,,154.215,-1,
2011-07-18,,,,152.115,-1,
2011-07-19,,,,154.69,-1,
2011-07-20,,,,154.855,-1,
2011-07-21,157.0,157.0,157.0,156.735,1,6500
2011-07-22,,,,156.42,-1,
2011-07-25,,,,156.71,-1,
2011-07-26,,,,155.46,-1,
2011-07-27,,,,152.015,-1,
2011-07-28,,,,151.945,-1,
2011-07-29,,,,149.585,-1,
2011-08-01,150.65,148.25,150.65,148.155,2,1800
2011-08-02,,,,146.68,-1,
2011-08-03,143.71,143.23,143.23,142.785,2,3200
2011-08-04,,,,139.29,-1,
2011-08-05,,,,132.715,-1,
2011-08-08,,,,128.145,-1,
2011-08-09,124.09,124.09,124.09,126.035,1,3003
2011-08-10,125.93,125.93,125.93,124.5,1,3003
2011-08-11,,,,126.54,-1,
2011-08-12,,,,130.505,-1,
2011-08-15,,,,132.51,-1,
2011-08-16,,,,133.4,-1,
2011-08-17,,,,133.22,-1,
2011-08-18,128.14,128.14,128.14,125.76,1,3003
2011-08-19,,,,124.415,-1,
2011-08-22,,,,122.335,-1,
2011-08-23,,,,123.69,-1,
2011-08-24,,,,127.87,-1,
2011-08-25,,,,127.825,-1,
2011-08-26,127.93,126.56,126.56,127.66,2,2400
2011-08-30,134.72,134.72,134.72,135.375,1,500
2011-08-31,137.28,136.62,136.62,136.555,3,5700
2011-09-01,135.66,135.66,135.66,136.035,1,1200
2011-09-02,133.14,133.14,133.14,131.54,1,1200
2011-09-05,,,,125.765,-1,
2011-09-06,126.2,124.95,124.95,126.755,4,8851
2011-09-07,131.52,131.52,131.52,132.14,1,795
2011-09-08,,,,133.815,-1,
2011-09-09,129.71,129.71,129.71,128.825,1,1200
2011-09-12,126.42,126.42,126.42,127.345,1,1200
2011-09-13,,,,128.775,-1,
2011-09-14,,,,131.145,-1,
2011-09-15,,,,133.2,-1,
2011-09-16,,,,134.155,-1,
