date,2021_11_03__10_27_11_lr_0.0001_epoch_50000
2015-01-09,0.9805509555294857
2015-01-16,0.9730468396813502
2015-01-23,0.9866008323657983
2015-01-30,0.976460627651912
2015-02-06,0.9887608360474847
2015-02-13,1.0028691022094962
2015-02-20,1.0171362974085356
2015-02-27,1.0218410993023588
2015-03-06,1.0166299165418378
2015-03-13,0.9967741585015201
2015-03-20,1.0123845949665708
2015-03-27,1.0014379103279474
2015-04-03,0.9994349668157787
2015-04-10,1.0076606943959283
2015-04-17,1.0127907440432697
2015-04-24,1.0181672875006986
2015-05-01,1.0172680541341408
2015-05-08,1.0141639147621135
2015-05-15,1.0204543903430692
2015-05-22,1.0303615267499706
2015-05-29,1.0238341308742671
2015-06-05,1.0199652708121167
2015-06-12,1.0149085214027493
2015-06-19,1.018795948279835
2015-06-26,1.019347150598228
2015-07-03,0.9985465157409854
2015-07-10,0.997627845210331
2015-07-17,1.0210200979856308
2015-07-24,1.0191344058437606
2015-07-31,1.0136417230920574
2015-08-07,1.0110597753901125
2015-08-14,1.0117366905179632
2015-08-21,0.9966995044635644
2015-08-28,0.9377982181244364
2015-09-04,0.9465832131419953
2015-09-11,0.9608588300455289
2015-09-18,0.9697870586775048
2015-09-25,0.9539836165535263
2015-10-02,0.9392782988067423
2015-10-09,0.9820096604410654
2015-10-16,0.9939935395139311
2015-10-23,1.0137120337653
2015-10-30,1.0442685381742014
2015-11-06,1.055918205480095
2015-11-13,1.0347196305464197
2015-11-20,1.0399237852035608
2015-11-27,1.04805229282171
2015-12-04,1.0525283432722325
2015-12-11,1.0441253045597847
2015-12-18,1.0300884103469456
2015-12-25,1.0266866120045486
2016-01-01,1.0342660574341
2016-01-08,0.9862589243354279
2016-01-15,0.9583761140623054
2016-01-22,0.9436707968092966
2016-01-29,0.9591877705076639
2016-02-05,0.9681637373774903
2016-02-12,0.9314253325211281
2016-02-19,0.964478746353878
2016-02-26,0.977051640538533
2016-03-04,1.0006638767803322
2016-03-11,1.0105015328674287
2016-03-18,1.027012171038967
2016-03-25,1.0294650358511257
2016-04-01,1.0369092658945958
2016-04-08,1.0356436543096053
2016-04-15,1.0369092648701854
2016-04-22,1.0351393771458628
2016-04-29,1.0059247563013787
2016-05-06,0.9954578575256441
2016-05-13,0.9977140445051039
2016-05-20,0.9998306356800389
2016-05-27,1.024618270106504
2016-06-03,1.0362477627290525
2016-06-10,1.0383997311922886
2016-06-17,1.0211377525986887
2016-06-24,1.01780120529511
2016-07-01,1.0038316629550486
2016-07-08,1.0247588894132182
2016-07-15,1.0490654347510775
2016-07-22,1.056840791567852
2016-07-29,1.0574546803632094
2016-08-05,1.0569169840273633
2016-08-12,1.0644504131837111
2016-08-19,1.0645955195423482
2016-08-26,1.064188331453045
2016-09-02,1.06670737713812
2016-09-09,1.0675895842736391
2016-09-16,1.056887888882295
2016-09-23,1.0612777367034896
2016-09-30,1.0628659776504008
2016-10-07,1.062353008496739
2016-10-14,1.0549741257719636
2016-10-21,1.0537903466083647
2016-10-28,1.054066944076104
2016-11-04,1.036428627585089
2016-11-11,1.0624216652985297
2016-11-18,1.059215343007608
2016-11-25,1.0724683208043815
2016-12-02,1.068166991170005
2016-12-09,1.0854952996754788
2016-12-16,1.1070194146441188
2016-12-23,1.1100554482413847
2016-12-30,1.1045271482593864
2017-01-06,1.1129342591494433
2017-01-13,1.1236103500652637
2017-01-20,1.1254710077797383
2017-01-27,1.1438506754471087
2017-02-03,1.1432607108059338
2017-02-10,1.1578736811488806
2017-02-17,1.177024841039326
2017-02-24,1.1919554724105688
2017-03-03,1.199597312331378
2017-03-10,1.1953533052616174
2017-03-17,1.1987302373209114
2017-03-24,1.1905874941554349
2017-03-31,1.1944861855851436
2017-04-07,1.1931396524570481
2017-04-14,1.1821303029794497
2017-04-21,1.1893239757777583
2017-04-28,1.2143727709194505
2017-05-05,1.2311168579944516
2017-05-12,1.2432821330218076
2017-05-19,1.2414061611926759
2017-05-26,1.2542966606671515
2017-06-02,1.2641312676833492
2017-06-09,1.2693025775978268
2017-06-16,1.269834037155788
2017-06-23,1.2764386075154377
2017-06-30,1.2603391790825527
2017-07-07,1.2585598913648384
2017-07-14,1.2679245633687104
2017-07-21,1.282086028476816
2017-07-28,1.285852707660594
2017-08-04,1.285977569953981
2017-08-11,1.2801090421648897
2017-08-18,1.2754579217363038
2017-08-25,1.2709420691961617
2017-09-01,1.280629434494135
2017-09-08,1.2781183548981423
2017-09-15,1.2904548754184644
2017-09-22,1.290319140038839
2017-09-29,1.2914145750758312
2017-10-06,1.3097372763461057
2017-10-13,1.3157415005076198
2017-10-20,1.3221487620913297
2017-10-27,1.3241226120308192
2017-11-03,1.3304678678572945
2017-11-10,1.3361103917684733
2017-11-17,1.3320696832523322
2017-11-24,1.3414041332935907
2017-12-01,1.3592488735178123
2017-12-08,1.3642816741489376
2017-12-15,1.3765381455014252
2017-12-22,1.3822013379963585
2017-12-29,1.3812299144659483
2018-01-05,1.400645467208478
2018-01-12,1.4226394260232385
2018-01-19,1.441801788590293
2018-01-26,1.4664774964071685
2018-02-02,1.452350518044404
2018-02-09,1.3639819796538188
2018-02-16,1.4088986841738154
2018-02-23,1.4368969056462373
2018-03-02,1.4555659446684506
2018-03-09,1.475163632286966
2018-03-16,1.4944624444951773
2018-03-23,1.428368282330772
2018-03-30,1.3922790765365445
2018-04-06,1.3810178780411555
2018-04-13,1.405995323045146
2018-04-20,1.4351997202805808
2018-04-27,1.398395348325983
2018-05-04,1.4172244991751453
2018-05-11,1.474181613081681
