date,2021_11_05__15_42_40_daily_actor_lr_1e-06_critic_lr_9.999999999999999e-06_epoch_50000,2021_11_05__15_42_40_daily_actor_lr_1e-05_critic_lr_0.0001_epoch_50000,2021_11_05__15_42_40_daily_actor_lr_0.0001_critic_lr_0.001_epoch_50000,2021_11_05__15_42_40_daily_actor_lr_0.001_critic_lr_0.01_epoch_50000
2015-01-05,0.9847753823762323,0.9847346812367481,1.015708451146717,0.9819403203037532
2015-01-06,0.9732093894217403,0.9728616566996189,1.0340087967326421,0.9726914277369422
2015-01-07,0.981577327255424,0.981100078246351,1.0319666980835687,0.9848123448376578
2015-01-08,1.00270108828512,1.0026650788989908,1.0183003455859252,1.0022878839507376
2015-01-09,0.9994626031458437,0.9995150965714898,1.0294533459000943,0.9942559509321911
2015-01-12,0.9882054107844823,0.9878844039628648,1.0353440150799453,0.9864674098232976
2015-01-13,0.9874021937294959,0.9871574838716486,1.0353440150799444,0.9836927420532544
2015-01-14,0.9818733018019576,0.9815844299374775,1.0431982406533016,0.9777539794577232
2015-01-15,0.9694990978341165,0.9689844819668261,1.059613572101618,0.9687966703986763
2015-01-16,0.9789833886708117,0.9784344428704357,1.0461043064121902,0.9815022148663781
2015-01-20,0.9870961143917211,0.9866728706437287,1.0600062858267627,0.983571046098428
2015-01-21,0.9888241939236041,0.9883690174511222,1.0528669926767054,0.988560580246313
2015-01-22,1.0049130241766127,1.0046035637653363,1.0496081554555527,1.0032614515893494
2015-01-23,1.0046185432332853,1.004361258214835,1.0493567645285609,0.9977607944311934
2015-01-26,1.0007236956979235,1.0002420446318079,1.045053009402629,1.0000973567638614
2015-01-27,0.9729132884868709,0.9714077083038111,1.014926723521113,0.986905515260673
2015-01-28,0.9708790277145974,0.9697130338493449,1.031519111195509,0.9742491359587211
2015-01-29,0.9800134565499898,0.9789206605122848,1.02473131270158,0.9832556101835177
2015-01-30,0.9680740237620341,0.9668053747634956,1.0429075286698613,0.9708903276055106
2015-02-02,0.9780062486520875,0.9767399643572625,1.0535954108059638,0.982913887942365
2015-02-03,0.9890700869277614,0.9878860841098934,1.0312942568530594,0.9971279754660957
2015-02-04,0.9908248680287439,0.9898245410681048,1.0330581000169776,0.9933310616755101
2015-02-05,0.9999254583776546,0.9990322110634158,1.0426672817192901,1.0033588083532106
2015-02-06,0.9966486818441153,0.9958822179459582,1.0393671641594457,1.0005841405831672
2015-02-09,0.9951158753201053,0.994428375228732,1.037849839798429,0.9961057294455535
2015-02-10,1.0096862122435901,1.0092091034749378,1.0531298380567469,1.006717616706421
2015-02-11,1.013469125928551,1.013086016622146,1.0552275376533913,1.007301757289588
2015-02-12,1.026977710603467,1.0268954667339025,1.0517358266785655,1.0169887552937742
2015-02-13,1.0331106693635148,1.0329418946208773,1.0409358834321374,1.0211750961398045
2015-02-17,1.0333485849865571,1.0307652419674873,1.0252637853355768,1.0227814827435138
2015-02-18,1.0343530716941356,1.033856063866722,1.0313539788964972,1.022878839507375
2015-02-19,1.0375131916673914,1.02877140587986,1.024532962108245,1.022148663778416
2015-02-20,1.0428770956953233,1.0317886920679022,1.0275374575982985,1.0282772720634767
2015-02-23,1.0438189288226472,1.0436112931248864,1.0393118318160757,1.028131236917685
2015-02-24,1.0472428313486002,1.0573096036172829,1.0529538653925374,1.031056807671713
2015-02-25,1.042638507564632,1.056415489631906,1.0520590459988837,1.0301805967969626
2015-02-26,1.046672467171755,1.04732722621727,1.050774637688026,1.028963637248698
2015-02-27,1.0435080695503245,1.0487676189623605,1.056961360157365,1.0254587937496962
2015-03-02,1.050181879897311,1.0355612551833604,1.0591792284052264,1.0319330185464637
2015-03-03,1.0440339352158992,1.0313124383952357,1.0548344728133419,1.027697999318503
2015-03-04,1.0400165694048846,1.0313545857710984,1.054889139046087,1.0233661101105
2015-03-05,1.039269932682904,1.0301228274441385,1.0535576286267423,1.0244852261110844
2015-03-06,1.0261646868165373,1.0174018100918356,1.0405477138277635,1.0100764250596312
2015-03-09,1.031037445384385,1.0222020074430398,1.045457115638699,1.0142627659056616
2015-03-10,1.0105250062093567,1.001321152776508,1.0241012177611297,0.9978094728131234
2015-03-11,1.0043222881082494,0.9948473810249123,1.0276362428341947,0.9954729104804554
2015-03-12,1.011044022725261,1.0013271258060565,1.0343301339214135,1.0081292897824075
2015-03-13,1.0054710749711284,0.9958083616881303,1.0311565932697784,1.0019335053302827
2015-03-16,1.0173951344726841,1.0075686741269265,1.0410845988415667,1.015333690308134
2015-03-17,1.0175738689901435,1.0078106942459972,1.049710123891677,1.012315630628438
2015-03-18,1.0313702772129787,1.0214963385192424,1.0699719704691208,1.0244852261110842
2015-03-19,1.0282684298328688,1.0186061386434784,1.06451998765511,1.019812101445748
2015-03-20,1.0309540163045474,1.0215689089068538,1.070134716224763,1.024241834201431
2015-03-23,1.0307116303586472,1.0214543322987477,1.068832750179626,1.0222460205422772
2015-03-24,1.027403756551167,1.02911626800462,1.0791671056629006,1.0165019714744683
2015-03-25,1.0030586120514597,1.0194964976101497,1.070053343346942,1.0016063866037093
2015-03-26,1.0029696368193293,1.0036076669057599,1.0533719033936244,0.9992211458891109
2015-03-27,1.0040915455057686,1.0160804369139707,1.0664729367228154,1.0015090298398484
2015-03-30,1.0158534639316188,1.0110590376707431,1.0611836996644464,1.013727303704425
2015-03-31,1.0059053452026718,1.0132210851356334,1.063462140243436,1.0048678381930587
2015-04-01,1.0044948155327045,1.023271244093169,1.0751798346496686,1.0013143163121259
2015-04-02,1.0044245976673554,1.0124797696239534,1.0637876317547201,1.004892177384024
