epoch,actor loss,delta,critic loss,expr replay loss
0,-0.14076806619763374,0.004756525084376335,-0.019040590412296297,
1,0.31583707869052885,0.000585985779762268,-0.0009591669672227,
2,0.25859377801418304,0.0011059767007827758,0.0002670167061842221,
3,0.24367999270558358,-0.0006934262812137604,-0.00021862655597942648,
4,0.2844909456372261,0.0002806343138217926,1.9702219578903168e-05,
5,0.24313978239893913,3.439143300056457e-05,1.126357547036605e-06,
6,0.31315835237503054,0.0026497164368629454,0.0007328794537170325,
7,0.45613097697496413,0.0002671119570732117,7.872808411775623e-05,
8,0.44187414735555647,0.000103493332862854,-9.187306976855325e-05,
9,0.47377742737531664,0.0005918261408805847,3.637630358753086e-05,
10,0.39139597535133364,0.00017214149236679076,5.463972796860617e-05,-0.00043904230844418637
11,0.4900201445817947,-0.0002514597773551941,-0.00030573312658816577,
12,0.43841874778270723,-3.982007503509522e-05,-4.0279158511111746e-05,
13,0.43667697221040724,-0.0008590349555015564,-0.00040308417232608917,
14,0.37867035865783694,0.0002740997076034546,9.058770379851921e-05,
15,0.4513766148686409,0.0015303760766983033,0.0006488338821418438,
16,0.46519126266241073,-0.00042875468730926516,-0.0002548511832355871,
17,0.4540475755929947,-0.00016146600246429442,-0.00011785206548665883,
18,0.4883418643474579,0.0007752296328544617,0.0003725611395202577,
19,0.5427479374408722,-0.00038148760795593263,-0.00021741939168350654,
20,0.5301975733041764,0.0006265676021575927,0.0003153052561538061,
21,0.5660569888353347,0.0006984370946884155,0.0003977898787616141,-0.0004888664450299984
22,0.6903288245201111,-0.0007879418134689331,-0.0005636435955238995,
23,0.6116547018289566,6.812334060668946e-05,1.9025275687454268e-05,
24,0.5595815593004226,-0.0005733567476272583,-0.0003562746327224886,
25,0.46617533326148985,-0.0013431841135025024,-0.0006853804702404887,
26,0.5042263990640641,0.0012766572833061219,0.0005376054380030837,
27,0.5024838066101074,-0.0007517555356025696,-0.0003925338030967396,
28,0.45741483956575396,0.00035680562257766723,0.000157578016842308,
29,0.5460291367769241,0.00038610070943832396,0.00017296795282163659,
30,0.5344774931669235,0.00036793947219848633,0.00018502645041735378,
31,0.6032567083835602,0.0004343658685684204,0.0002506831653732888,
32,0.6259307861328125,-7.188856601715087e-05,-7.398423800623277e-05,-0.00023498966974102586
33,0.6519755089282989,-0.0005506259202957153,-0.00037147302806260995,
34,0.6152251929044723,0.00031578004360198974,0.00017443385666410905,
35,0.6681957721710206,0.0004584813117980957,0.00028962650794710497,
36,0.6058646249771118,-0.00208523690700531,-0.0012802147018737742,
37,0.45044111043214796,-0.0007068559527397156,-0.00030203759663788077,
38,0.2858184677362442,-0.0007119852304458618,-0.00028841397404903544,
39,0.31471752643585205,0.0005396875739097595,0.0001426350188194192,
40,0.40728897869586944,0.00047214418649673464,0.00012353573365544434,
41,0.415203383564949,0.00027271449565887453,9.590316185494884e-05,
42,0.45735483229160306,-0.00077781081199646,-0.00036391984940564726,
43,0.34719965279102327,-0.00020785659551620484,-7.839122819859767e-05,-3.9441042808334714e-05
44,0.40053116887807844,0.0006557238101959228,0.00021484271805093157,
45,0.38133737683296204,-0.00019513964653015137,-0.00010255224144202657,
46,0.3811772146821022,-0.0004683282971382141,-0.0002101989649963798,
47,0.3087059283256531,-7.817655801773072e-05,-5.12875301137683e-05,
48,0.2897931197285652,-0.0006056052446365357,-0.0002118955401238054,
49,0.19665883466601372,-0.0012466125190258026,-0.0002632238982550916,
50,-0.01786406263592653,-0.0010811174847185612,-0.00012262751810112604,
51,-0.09608405504375696,-0.0007698957622051239,3.283264850324485e-05,
52,-0.13423517070710658,-0.00016746334731578826,1.031617040622379e-05,
53,-0.11841151237487793,0.0016938433051109313,-0.00018127461435142324,
