epoch,actor loss,advantage loss (critic delta),expr replay loss
0,2.4745389819145203e-05,0.0004406186193227768,
1,0.011021234318614006,-0.0007001778855919838,
2,-0.008256345614790916,-0.0003201252594590187,
3,0.0013682093471288682,-0.00021486460813321172,
4,0.003993451446294784,4.211574094370008e-05,
5,0.005028819143772126,-0.000561994700692594,
6,0.0017065676674246789,0.0002266715676523745,
7,-0.0009384768456220627,0.00019961089943535627,
8,0.005817265883088112,-0.00043972991465125234,
9,-0.000623578280210495,-0.0006596748926676809,
10,0.004903531149029732,-8.100191596895457e-05,
11,-0.017268760800361632,-0.0008704076451249421,
12,-0.003411671780049801,0.0019516380620189012,
13,0.008460699766874313,9.036536794155835e-06,
14,-0.0018984386324882507,0.0011705247306963429,
15,-0.010313163548707961,0.0018980279460083693,
16,-0.004159781560301781,1.2835685629397631e-06,
17,0.0022288085892796516,0.00010751200374215841,
18,-0.009365330301225185,0.0003679637610912323,
19,-0.001520320400595665,0.0002553793671540916,
20,0.00025187481194734575,0.0007031883811578155,
21,-0.0084601641446352,0.00011250260518863797,
22,-0.0029601259902119637,0.0007381626404821872,
23,0.0005188955739140511,0.00032193451072089376,
24,0.0008862035349011422,-0.00012130630668252706,
25,-0.00033148072659969327,0.0001834475330542773,
26,-0.0022935806587338447,0.0005585879785940051,
27,0.0013670962303876876,-0.0001967603451339528,
28,-0.001156945638358593,-0.0002606167644262314,
29,0.005843183081597089,0.0015173001657240092,
30,0.003275396227836609,-0.00022675932734273375,
31,2.254718914628029e-05,0.0001466690097004175,
32,-0.00046747295185923577,0.0010143684822833164,
33,0.0032566752471029758,-6.268131837714464e-05,
34,0.004924449995160103,-0.00011344323400408029,
35,-0.0009252026304602623,0.00016438539838418365,
36,0.0021444450505077838,0.00046695887576788666,
37,0.00011447980999946594,-0.00023901417676825077,
38,0.003272925689816475,0.00014480034355074167,
39,-0.004181247446686029,0.0005993701372062788,
40,0.001996817924082279,-0.00013864162960089743,
41,-0.0002170746400952339,8.46750638447702e-05,
42,-0.0006552665494382381,-0.0003727817692561075,
43,0.0020337618701159956,0.0003504486638121307,
44,-0.0004282780550420284,-0.00027895197505131366,
45,0.0036466323956847193,-0.0003621019306592643,
46,0.0024578535929322244,0.0001410362869501114,
47,0.0012324672378599645,0.0007193612260743976,
48,0.0019281547144055367,2.9704624321311712e-05,
49,0.0005779532063752413,0.0003703640855383128,
50,-0.0004751554690301418,-0.0002815028198529035,
51,0.0025506788305938244,-0.0002488396631088108,
52,-0.003329582028090954,0.0007583046320360154,
53,0.003010292649269104,5.4884909186512235e-05,
54,0.0010324003174901008,-0.0007186007843120024,
55,0.0011325744166970253,0.00034771487466059623,
56,0.0019551193341612815,4.9823300796560945e-05,
57,-0.002936907634139061,0.0003119008772773668,
58,0.0018921462818980218,-0.0002556479605846107,
59,0.0019431058503687382,5.558827833738178e-05,
60,-0.002518293336033821,-0.00012099678890081122,
61,0.00033995246514678,2.089418179821223e-05,
62,-0.0002913313545286655,0.00025915396749041973,
63,-0.003766756244003773,-0.0006003013666486367,
64,-0.004227956887334585,0.00012173894094303251,
65,-0.003987362980842591,0.00017315456643700599,
66,-0.00025977205485105514,5.7138880365528166e-05,
67,-0.003136210963129997,-6.119058118201792e-05,
68,0.0018508708663284778,0.00012257609923835844,
69,-0.005883649457246065,-0.0001285809586988762,
70,0.0006994515471160412,-0.00025327285053208473,
71,-0.004484901856631041,0.00040460171876475213,
72,0.0010089045763015747,-0.00029354889295063913,
73,0.0004913261253386736,0.0006312421313486993,
74,0.0012346898205578328,-3.9809598820284006e-05,
75,-0.0002577374875545502,0.00020135299535468221,
76,-0.0008974159508943558,0.00013445735676214098,
77,0.0023608068656176327,4.444355261512101e-05,
78,-0.002305453512817621,0.00012064550450304524,
79,0.004431382538750767,0.0006467824673745781,
80,0.0026884003262966872,-0.00017273197183385492,
81,-0.001331156361848116,-5.0899051129817965e-05,
82,-0.0017092716740444304,0.0001459232805063948,
83,-0.001291552670300007,-0.0002645654673688114,
84,-0.001663713022135198,-8.161749807186424e-05,
85,-0.004182461453601718,0.00033027129771653565,
86,0.0001692024152725935,-0.00045638630632311106,
87,0.0011944791488349437,0.00015913723269477486,
88,-0.002364371451549232,0.0003099727351218462,
89,0.0025237260200083257,-0.00018752064323052765,
90,0.0012278037588112057,-0.00038309915456920864,
91,-0.004988286877050996,0.0008562613185495138,
92,0.0019177472637966276,0.0006551100104115903,
93,0.0042502688529202715,-0.0005619869090151042,
94,-0.0010312712960876525,-0.0001445442362455651,
95,-0.0029657861549640075,0.0005007165792630985,
96,0.0006633190521097277,-0.00013329080116818658,
97,0.0022647825271997135,1.8684964743442833e-05,
98,-0.003574476230714936,-0.00021102323313243687,
99,0.001917090376955457,5.2996324084233495e-05,
100,0.002599501264776336,9.626839339034632e-05,3.0130572153730384e-07
101,9.078149450942874e-05,-0.00055984940554481,
102,0.00023581160930916668,0.0009578200080431997,
103,0.0010308170146890916,-0.00025919961859472096,
104,-9.589190936821978e-05,-0.0002593263238668442,
105,0.0010672456929751205,-0.00028009543690131976,
106,-0.00512124989181757,0.0004355615540407598,
107,-0.0006385474561830052,8.941260224673897e-05,
108,-0.0003724035096820444,-0.0006149962253402918,
109,-0.003831170343910344,0.0005987184355035424,
110,0.0010972451406996697,0.0001045918054296635,
111,0.0021213498009456087,0.0004119358432944864,
112,0.0005028819380095229,-0.0004940233222441748,
113,0.00013317225995706394,-0.0009916190424701199,
114,-0.002733974113216391,0.0010233303881250321,
115,0.0016909815213875844,-0.0005631439070566557,
116,0.0006610797735629603,0.0004027809455874376,
117,-0.005283336500870064,4.1481791995465756e-05,
118,-0.0025640425471647175,-0.00019073987830779516,
119,0.001657955959526589,0.0007910948831704445,
120,-0.00011675853063934482,-0.0007105903909541667,
121,-0.0013736440190405118,4.8618739820085464e-05,
122,-3.902645839843899e-05,-1.2853411026299e-05,
123,0.0019607780626392925,7.161953079048544e-05,
124,0.000326635297969915,3.110594756435603e-05,
125,-0.00041432475110923404,9.390026749315438e-05,
126,0.0002733389077911852,-0.0004409662104444578,
127,-0.002382702752001933,3.290018386906013e-05,
128,-0.0021332292436272837,-4.043366585392505e-05,
129,-0.002822278880266822,0.0001993279525777325,
130,-0.0027986426049028523,0.00033161855419166385,
131,0.0022271488108526684,-5.575062183197588e-05,
132,0.0008199191384483128,-0.00022338112350553274,
133,-0.0021760372747667133,-0.0003179656411521137,
134,0.004105937635758891,0.00038319119019433853,
135,-1.0066981812997256e-05,0.00012847472011344506,
136,-6.687292014248669e-05,-0.0003719974544947036,
137,-0.0017160404499736615,-0.00016789959627203644,
138,-0.0028444605972617865,0.00014152874704450368,
139,0.0009593344549648463,0.00033566799538675696,
140,0.005658099283245974,0.00026214343233732507,
141,0.002661597398109734,-0.0003630062809679657,
142,-0.0004194280973752029,0.00012429327820427714,
143,0.0031275958521291614,-0.00025397231453098355,
144,0.002915418845950626,0.00039265754749067127,
145,0.0011476944440801163,-0.00017528014883282594,
146,0.0010591007256880404,-0.000616305983858183,
147,-0.002090282525168732,0.0009402862307615578,
148,0.006076911822892725,-0.0007004690845496953,
149,0.00015778112632688134,0.0005302021582610906,
150,0.002302597832022002,-0.0005625398480333388,
151,-0.0016000387084204703,3.4843869507312774e-05,
152,-4.911256837658584e-06,0.00011562325875274837,
153,0.0007156397494418342,0.00016805522900540382,
154,0.0029093747460865417,0.00013255133177153766,
155,0.0010215915496519302,5.528531037271023e-06,
156,0.0017000173290944076,-0.0003565037215594202,
157,0.0012807553773745894,-2.1311299933586268e-05,
158,0.000356319057973451,0.0003373468041536398,
159,0.0012700786003551911,0.00030539756538928487,
160,0.0011744205975264778,-0.00012470021029002963,
161,0.002830268433899619,-0.0005622634178143926,
162,-0.0029882782684580887,-0.0004755448002833873,
163,-0.000130515911441762,0.0009116644365713,
164,0.0018314220100000965,0.00041317978873848914,
165,0.00516622777126031,-0.0006358333548996597,
166,-0.0023099965003348186,-0.00016322832248988562,
167,0.0037137102778069674,-0.0004603342991322279,
168,-8.424859217484482e-05,0.0003862715919967741,
169,0.00018773911244352349,0.00013766849355306476,
170,0.006859001925913617,0.0003834515146445483,
171,0.002187330066517461,0.00017705460428260266,
172,0.004412393824895844,-0.0008696219837293029,
173,-0.0006948809523601085,0.0006349248139304108,
174,0.0018637398690407282,-0.00011620860372204334,
175,0.000730188851011917,-0.0009392722509801388,
176,0.0026641735137673097,0.0005238711973652244,
177,-0.0003239368845243007,-0.0005231107724830509,
178,-0.0044917635049205274,0.0007397128047887236,
179,0.001931936321198009,-0.0002451228385325521,
180,-0.004373515010820483,6.137692951597274e-05,
181,7.092061045113951e-05,9.503511333605274e-05,
182,0.0019046245575736974,0.00032326462533092124,
183,0.0015830705722328275,-0.000890016455668956,
184,-0.003144718274124898,0.0007490635360591114,
185,0.002895392957725562,-0.000251707712886855,
186,0.0010851420517428779,0.0005439262848813087,
187,0.0045426328224129975,-8.898552041500807e-05,
188,0.0036478847946273163,9.952378866728395e-05,
189,0.0032157864817418157,-0.00023803560412488878,
190,0.002197744501463603,-0.00023725646722596138,
191,-0.000977623716898961,-8.478105621179566e-05,
192,-0.001548458040197147,8.307571697514504e-05,
193,0.0048365797445876525,-0.0005707774763868656,
194,-0.001948871785425581,-0.00042340472602518274,
195,-0.0026475474106700857,0.0013221442815847695,
196,0.005962879816070199,0.00020540133584290743,
197,0.003408756669377908,-0.0002887740038568154,
198,-0.00161817991771386,-0.0004377796594053507,
199,0.0013218590904943994,0.0002880428326898254,
200,0.0006865170056698844,-0.0007757243036758155,
201,-0.0036971372345578858,0.00036317790480097753,4.406382358052019e-07
202,-0.003923644219903508,-0.00045790163043420764,
203,-0.0010042343581153545,0.0005259988736361265,
