epoch,actor loss,delta,critic loss
0,0.09481239892542362,-2.752304542809725e-05,-0.0005924238233887991
1,0.28290205508470534,-0.00039442241191864016,-0.00027548546589969194
2,-0.04373837444931269,0.0004912868374958634,-0.00017418334175999916
3,0.27157677575945854,0.0006947392225265503,0.00010818376549650565
4,0.38560786485672,0.0007515850663185119,0.00012076927421276196
5,0.44879685908555983,0.00047171950340271,-3.4672315377974884e-05
6,0.3479175798594952,2.198159694671631e-05,-0.0004991550107706643
7,0.31881361559033394,0.00030342921614646913,4.8910453806456644e-05
8,0.17869740471243858,-0.0005890095233917237,-0.000518753570240733
9,0.18651712223887443,0.0008771915454417467,-0.0002138464931016415
10,-0.09432107117027044,0.0006642901455052197,-0.001936494480410147
11,0.1208429217338562,-6.133705377578736e-05,-2.1214904747921537e-05
12,0.07204519756138325,0.00015359305776655675,-0.00011277190201212761
13,0.10765890717506409,-7.340572774410248e-05,-4.107759265025379e-05
14,0.12780477441847324,0.00019884563982486725,1.5854261341701204e-05
15,0.15590849295258521,-0.00033946067094802856,-8.61332732279152e-05
16,0.13085629433393478,0.0013491100072860719,0.00010496778464585078
17,0.20502245359122753,-0.0010073793679475785,-0.00025096915098401953
18,0.12099902547895908,0.0006517627090215683,5.507129937313948e-05
19,-0.007856010943651199,-0.0004162541590631008,-0.0002545366255622383
20,-0.9588559574633837,0.00932608381845057,-0.034491171874044824
21,-0.1528348881006241,-0.0005974600464105606,2.077790513794753e-05
22,-0.2432147616147995,0.0020856720209121702,-0.0006028862333914731
23,-0.1736430509388447,0.0009265183657407761,-0.0002957056900140742
24,-0.07396897844970227,-0.0004197859764099121,6.517992271710682e-06
25,-0.04924096990376711,-0.00039134640246629715,1.7783298962967818e-05
26,-0.2335986454039812,0.001361163854598999,-0.0005066832180455095
27,-0.03945093762129545,-5.446039140224457e-06,-1.8643286940687174e-05
28,-0.11081898778676987,0.0013567601144313813,-0.00031815335484225215
29,-0.0662256582081318,-0.00015100646764039993,-1.9205709926595205e-05
30,-0.05110061995685101,-0.0011533266864717008,4.4389203608261596e-05
31,-0.14990184985101224,0.00015677638351917266,-0.00014020474984135944
32,-0.051755946204066275,0.0003961177542805672,-6.676550071460952e-05
33,-0.08215680196881295,-0.00021491046994924544,-6.40616892997059e-05
34,-0.0317743269726634,5.1301363855600355e-05,-3.486933438011874e-05
35,-0.1554220962896943,-0.00520250634290278,-0.0005555333762129066
36,-0.1902310474216938,0.0009409041702747345,-0.0003240394248177836
37,-0.1051027574390173,-0.0002748443186283112,1.3344383523872238e-05
38,-0.16748552341014147,0.0027354199811816214,-0.000735097672268239
39,-0.047274915352463726,0.000706275247503072,-0.00010548708819442254
40,-0.00010139688849449158,0.0006775118480436504,-1.1720403983730421e-05
41,-0.06055044924840331,-0.0023086197371594607,-0.00010335967606636131
42,-0.057237988151609895,0.0002387695387005806,-2.2381283888393e-05
43,-0.0015407923236489295,-0.0003910153824836016,7.659709925746938e-06
44,-0.08736468471586704,-0.0006987553462386131,5.2979009451519234e-05
45,-0.11776649989187718,-0.0005851272493600845,3.2492630457454654e-05
46,-0.16138211205601694,-0.0003768752515316009,-6.270075459724467e-06
47,-0.10187608666718007,-0.0015276844799518585,0.00012887753879113007
48,-0.14176537327468394,-9.284444153308869e-05,1.7964367407330428e-06
49,-0.15105094134807587,-0.00012505382299423217,6.149725363684411e-06
50,-0.11511963844299317,0.0002427995204925537,-3.3476609823992474e-05
51,-0.15543648548424244,-0.0012259602546691895,0.00017688410350274352
52,-0.22109329283237458,0.001768677942454815,-0.0006455837780882945
53,-0.0899206030741334,-3.010418266057968e-05,-5.3143607401580085e-05
54,-0.061877996250987055,0.00014877017587423325,-5.030853090438825e-05
55,-0.03941976236179471,0.00011942062526941299,-1.4534862648361013e-05
56,-0.04062287343665957,0.0007867308799177408,-4.106436145576708e-05
57,0.019595104567706585,0.0005709321983158589,-7.704272580895123e-06
58,-0.0008980908058583737,-2.9367918614298105e-05,-2.132699817124717e-05
59,-0.007484970241785049,0.0002237682044506073,-1.868055616043307e-05
60,-0.01969554929062724,-0.0006049561337567866,-1.6664457669151033e-05
61,0.011833284720778466,0.00048276222543790936,-1.593066457846959e-05
62,-0.0334673523157835,0.0009909008909016847,-0.00032726578392612283
63,0.03918728306889534,-0.00014168987050652504,-5.707905395979651e-06
64,0.035770454294979576,0.0006019758246839046,2.1252178205486415e-05
65,0.03806250810623169,-0.00041313936933875086,-1.6433464668352827e-05
66,0.04092777239158749,-0.0004385919496417046,-2.4353660072726768e-05
67,-0.14396003771573304,0.0009516463987529278,-0.00020092794853042052
68,0.04601119317114353,0.0009214840270578861,4.114207420116145e-05
69,0.052198479510843755,2.9333308339118956e-06,-1.7573908803569793e-06
70,0.05036703709512949,5.998007953166962e-05,1.616771954502383e-06
71,0.05325352404266596,0.0005650148913264275,2.8524531752509575e-05
72,0.056177384369075295,0.0002737114578485489,1.2105091212504248e-05
73,0.0657741229236126,0.0009041689336299896,3.692530963235185e-05
74,0.07135287545621395,0.0009601128473877906,6.450297001720174e-05
75,0.07424247808754444,-0.0006547807157039642,-4.8496995937057364e-05
76,0.07578542791306972,-1.2853816151618958e-05,-3.185096678862465e-05
77,0.055161837078630926,-0.0015570729225873948,-8.941743328279017e-05
78,0.042319044582545755,0.0006517593190073967,-8.810786914636992e-06
79,0.044637227021157744,-9.69073548913002e-05,-1.6160491404662026e-05
80,0.05257055703550577,0.0008706899173557759,4.43291740452878e-05
81,0.054189804308116436,-0.0002970908023416996,-1.5032496644380445e-05
82,0.05884200107306242,-0.0004268450662493706,-2.8815031892008848e-05
83,0.047016885839402674,-0.0002518375404179096,-1.801931880436314e-05
84,0.052982810400426385,0.00022819604724645616,1.0484865785596043e-05
85,0.05553197532892227,0.0005985742062330246,2.9932861081078955e-05
86,0.057654114663600924,-9.277977049350739e-05,-6.418136704269272e-06
87,-0.006500826422125101,-0.0021887479163706304,-0.00020077580885526913
88,0.036489780731499194,0.00044853812083601953,1.5420591110455463e-05
89,0.03672771871089935,0.0006214356608688831,1.7686762040511893e-05
90,0.0027539623714983464,-0.0017216587020084263,-9.51652449933249e-05
91,0.03134827459231019,0.0005981339514255523,1.5945467071105666e-05
92,0.034527002349495885,0.00022560548037290574,4.264442336534557e-06
93,0.03389965793117881,-0.0005263520590960979,-1.8752018949044214e-05
94,0.02808532675728202,-0.0007726916577666998,-2.300936630945216e-05
95,0.014677402283996343,-0.0006962822983041406,-1.5444296918758484e-05
