date,2021_11_08__10_26_55_daily_actor_lr_0.0001_critic_lr_0.001_epoch_5000,2021_11_08__10_26_55_daily_actor_lr_0.0001_critic_lr_0.001_epoch_10000,2021_11_08__10_26_55_daily_actor_lr_0.0001_critic_lr_0.001_epoch_30000,2021_11_08__10_26_55_daily_actor_lr_0.0001_critic_lr_0.001_epoch_50000
2015-01-05,0.9819403203037532,0.9819403203037532,0.9847346740974073,1.015708451146717
2015-01-06,0.9726914277369422,0.9726914277369422,0.9728616428398352,1.0340087967326421
2015-01-07,0.9848123448376578,0.9848123448376578,0.9811000726920283,1.031966698083569
2015-01-08,1.0022878839507376,1.0022878839507376,1.0026653743639449,1.0183003455859254
2015-01-09,0.9942559509321913,0.9942559509321913,0.999515386479283,1.0294533459000943
2015-01-12,0.9864674098232978,0.9864674098232978,0.9878846619820697,1.0353440150801132
2015-01-13,0.9836927420532546,0.9836927420532546,0.9871577417009938,1.0353440150801132
2015-01-14,0.9777539794577234,0.9777539794577234,0.9815846862127457,1.0431982406534717
2015-01-15,0.9687966703986766,0.9687966703986766,0.968984734674098,1.059613572101791
2015-01-16,0.9815022148663785,0.9815022148663785,0.9784346983280839,1.0461043041156146
2015-01-20,0.9835710460984284,0.9835710460984284,0.9866731281802767,1.060006283380459
2015-01-21,0.9885605802463133,0.9885605802463133,0.9883692755027872,1.04775369148602
2015-01-22,1.0032614515893499,1.0032614515893499,1.0046038284468142,1.0439836632108077
2015-01-23,0.9977607944311939,0.9977607944311939,1.0043615216864556,1.0585139805215211
2015-01-26,1.000097356763862,1.000097356763862,1.0002423067603592,1.0552937480364444
2015-01-27,0.9869055152606736,0.9869055152606736,0.9714078022776842,1.0569431354068495
2015-01-28,0.9742491359587215,0.9742491359587215,0.9697116549551739,1.0742224316682383
2015-01-29,0.9832556101835183,0.9832556101835183,0.9789193118488011,1.0671536286522156
2015-01-30,0.9708903276055113,0.9708903276055113,0.9668039738308704,1.0860823122840095
2015-02-02,0.9829138879423656,0.9829138879423656,0.9767385510055737,1.0797989318253227
2015-02-03,0.9971279754660963,0.9971279754660963,0.98788466198207,1.0569431354068497
2015-02-04,0.9933310616755109,0.9933310616755109,0.9898231160649388,1.0587496072887224
2015-02-05,1.0033588083532115,1.0033588083532115,0.9990307729585661,1.0471253534401517
2015-02-06,1.0005841405831681,1.0005841405831681,0.9958807850739042,1.0285893810870257
2015-02-09,0.9961057294455543,0.9961057294455543,0.9944269445117526,1.0269399937166204
2015-02-10,1.0067176167064218,1.0067176167064218,1.0092076568936281,1.0187715991203277
2015-02-11,1.0073017572895888,1.0073017572895888,1.013084565059366,1.0206566132579336
2015-02-12,1.016988755293775,1.016988755293775,1.026896050399807,1.01727929626139
2015-02-13,1.0211750961398054,1.0211750961398054,1.0334383329294896,1.006833176248823
2015-02-17,1.0227814827435147,1.0227814827435147,1.0339229464502069,0.9916745208922413
2015-02-18,1.0228788395073758,1.0228788395073758,1.0348921734916414,0.9975651900722602
2015-02-19,1.0221486637784172,1.0221486637784172,1.0385267748970204,0.990967640590639
2015-02-20,1.0282772720634779,1.0282772720634779,1.04385752362491,0.9938737040527816
2015-02-23,1.0281312369176863,1.028131236917686,1.0445844439059857,1.0052623311341515
2015-02-24,1.0310568076717144,1.0310568076717141,1.0477344317906478,1.0184574300973939
2015-02-25,1.0301805967969644,1.0301805967969637,1.0411921492609653,1.0228557964184746
2015-02-26,1.0289636372487003,1.0289636372486992,1.0477344317906478,1.0088752748978966
2015-02-27,1.0254587937496984,1.0254587937496973,1.0440998303852689,1.0173578385171238
2015-03-02,1.0319330185464677,1.031933018546465,1.0523382602374616,0.9964655984919903
2015-03-03,1.0276979993185087,1.0276979993185045,1.0453113641870617,0.9928526547282456
2015-03-04,1.023366110110506,1.0233661101105016,1.0411921492609653,0.99316682375118
2015-03-05,1.0244852261110904,1.024485226111086,1.0399806154591724,0.9919101476594427
2015-03-06,1.0100764250596375,1.0100764250596328,1.027138357160166,0.9699968583097727
2015-03-09,1.0142627659056678,1.0142627659056629,1.0319844923673382,0.9789506754634012
2015-03-10,0.9978094728131299,0.9978094728131253,1.0109038042161387,0.9918316054037091
2015-03-11,0.9954729104804619,0.9954729104804573,1.0043615216864563,0.9990574929311988
2015-03-12,1.0081292897824141,1.0081292897824092,1.0109038042161387,0.9983506126295967
2015-03-13,1.0019335053302891,1.0019335053302845,1.0053307487278906,0.9952874646559869
2015-03-16,1.0153336903081407,1.015333690308136,1.0172037799854625,1.0048696198554843
2015-03-17,1.0123156306284447,1.0123156306284398,1.0174460867458213,1.0131950989632443
2015-03-18,1.0244852261110908,1.0244852261110862,1.0312575720862622,1.032752120640907
2015-03-19,1.0198121014457548,1.01981210144575,1.0283498909619586,1.0274897895067567
2015-03-20,1.024241834201438,1.0242418342014332,1.0307729585655447,1.032909205152374
2015-03-23,1.0222460205422856,1.0222460205422796,1.0307729585655447,1.0316525290606366
2015-03-24,1.0165019714744772,1.0165019714744705,1.027380663920524,1.041627395538802
2015-03-25,1.0016063866037184,1.0016063866037117,1.0009692270414352,1.0328306628966406
2015-03-26,0.9992211458891199,0.9992211458891133,1.0016961473225112,1.0167295004712555
2015-03-27,1.0015090298398575,1.0015090298398506,1.002423067603587,1.0293748036443628
2015-03-30,1.0137273037044343,1.0137273037044274,1.0145384056215176,1.02426955702168
2015-03-31,1.0048678381930678,1.004867838193061,1.0041192149260973,1.0264687401822203
2015-04-01,1.001314316312135,1.0013143163121283,1.002665374363946,1.0377788250078566
