date,2021_11_09__11_15_24_daily_actor_lr_1e-06_critic_lr_9.999999999999999e-06_epoch_1000_gamma_1.0,2021_11_09__11_15_24_daily_actor_lr_1e-05_critic_lr_0.0001_epoch_1000_gamma_1.0,2021_11_09__11_15_24_daily_actor_lr_0.0001_critic_lr_0.001_epoch_1000_gamma_1.0,2021_11_09__11_15_24_daily_actor_lr_0.001_critic_lr_0.01_epoch_1000_gamma_1.0
2015-01-05,0.9847347302197716,1.0157084511467216,0.9819403203037532,1.0157084511798191
2015-01-06,0.9728617539953115,1.034008796732652,0.9726914277369422,1.0340087968001686
2015-01-07,0.9811002063904396,1.0319666980835793,0.9848123448376578,1.0319666981594862
2015-01-08,1.0026654976031284,1.018300345585955,1.0022878839507376,1.0183003457331397
2015-01-09,0.9995154582848282,1.0294533459009374,0.9942559509321915,1.029453347047944
2015-01-12,0.9878847440288608,1.0353440150812978,0.9864674098232981,1.0353440168451786
2015-01-13,0.987157799063343,1.0353440150813116,0.9836927420532547,1.0353440168987724
2015-01-14,0.9815847860697777,1.0431982406546823,0.9777539794577236,1.0431982425027249
2015-01-15,0.9689848528113958,1.0596135721030213,0.9687966703986768,1.0596135739864097
2015-01-16,0.9784348268158404,1.0461043041168292,0.9815022148663787,1.0461043059784843
2015-01-20,0.986673290347168,1.0600062833816917,0.9835710460984286,1.060006285278473
2015-01-21,0.9883693960418842,1.0477536914872474,0.9885605802463135,1.047753693399217
2015-01-22,1.004604006262722,1.0439836632120783,1.00326145158935,1.0439836652307233
2015-01-23,1.0043616529280244,1.058513980525199,0.9977607944311947,1.0585139845116518
2015-01-26,1.0002423850758408,1.0552937480417859,1.0000973567638631,1.0552937534919054
2015-01-27,0.9714079737006586,1.0569431354212229,0.9869055152606777,1.0569431463648995
2015-01-28,0.9697117662917055,1.0742224316834899,0.9742491359587256,1.0742224435663652
2015-01-29,0.9789194762616832,1.0671536286673724,0.9832556101835225,1.0671536404920823
2015-01-30,0.9668041204814515,1.0860823122995173,0.9708903276055154,1.086082324465964
2015-02-02,0.9767387371109563,1.0797989318407435,0.9829138879423698,1.079798943946591
2015-02-03,0.9878848752921585,1.0569431354219798,0.9971279754661007,1.0569431473246444
2015-02-04,0.9898233154066095,1.0587496073048417,0.9933310616755153,1.0587496198828716
2015-02-05,0.9990309881926749,1.047125353456304,1.003358808353216,1.0471253661009663
2015-02-06,0.995880971728926,1.0285893811051223,1.000584140583173,1.0285893945764217
2015-02-09,0.9944271793213973,1.026939993735785,0.9961057294455594,1.026940007760851
2015-02-10,1.0092078571489906,1.018771599139498,1.006717616706427,1.0187716131814009
2015-02-11,1.0130847695188068,1.0206566132783994,1.0073017572895941,1.0206566279457747
2015-02-12,1.0268961969997978,1.017279296283884,1.0169887552937809,1.0172793118193
2015-02-13,1.0334384334982962,1.0068331762984535,1.02117509613982,1.0068331982216185
2015-02-17,1.0339230533881172,0.9916745210131984,1.0227814827435604,0.9916745561373218
2015-02-18,1.034892311196939,0.9975651902074042,1.0228788395074255,0.9975652291194141
2015-02-19,1.038526855355747,0.9909676407472778,1.0221486637784742,0.9909676851031538
2015-02-20,1.0438575667714705,0.9938737042396313,1.0282772720635467,0.993873756211884
2015-02-23,1.044584452609693,1.005262331460866,1.028131236917836,1.0052624075907453
2015-02-24,1.0477344025560384,1.018457430521292,1.0310568076719127,1.0184575240711788
2015-02-25,1.0411921463986833,1.0228557972322179,1.030180596797473,1.0228559257891257
2015-02-26,1.0477343853242467,1.008875275965419,1.0289636372494189,1.0088754373396833
2015-02-27,1.0440997926753892,1.0173578398379126,1.025458793750611,1.017358034026921
2015-03-02,1.0523381181983396,0.9964656003913492,1.031933018547972,0.9964658564035337
2015-03-03,1.0453112709112653,0.9928526575363402,1.0276979993209812,0.9928529867687507
2015-03-04,1.0411920343435697,0.9931668267956456,1.0233661101131641,0.9931671914052412
2015-03-05,1.0399804624074753,0.991910150842426,1.0244852261138477,0.9919105381586801
2015-03-06,1.027138233767213,0.9699968615001462,1.010076425062403,0.9699972734124019
2015-03-09,1.0319843759063245,0.9789506786976194,1.0142627659084504,0.9789511011619171
2015-03-10,1.0109037840962096,0.9918316086960407,0.9978094728158741,0.9918320444207898
2015-03-11,1.0043615499469678,0.9990574962488781,0.9954729104831997,0.9990579362564969
2015-03-12,1.0109037918926598,0.9983506159457479,1.0081292897851868,0.9983510565297063
2015-03-13,1.0053307218161505,0.9952874679702252,1.0019335053330483,0.9952879122582065
2015-03-16,1.0172037459002465,1.0048696232051175,1.0153336903109378,1.00487007439692
2015-03-17,1.0174460991333882,1.013195102346566,1.0123156306312358,1.0131955616161872
2015-03-18,1.0312576125403243,1.032752124095199,1.024485226113918,1.0327525968542546
2015-03-19,1.0283498850204893,1.027489793025271,1.0198121014486345,1.0274902990771895
2015-03-20,1.03077296981448,1.0329092087550706,1.0242418342043837,1.0329097507287257
2015-03-23,1.0307729656844178,1.031652533032451,1.0222460205457116,1.0316531848209587
2015-03-24,1.0273807230659622,1.041627399726946,1.016501971478095,1.0416281291734848
2015-03-25,1.0009694305352048,1.0328306671845862,1.001606386607442,1.0328314527791291
2015-03-26,1.0016963043755438,1.016729504701659,0.9992211458928401,1.0167302864824788
2015-03-27,1.0024232411538327,1.0293748079326248,1.001509029843588,1.0293756041172437
2015-03-30,1.0145385279223684,1.024269561306842,1.0137273037082202,1.0242703652343461
2015-03-31,1.0041194098084325,1.0264687445183938,1.004867838196846,1.0264695716642425
2015-04-01,1.002665571446031,1.0377788294054742,1.001314316315906,1.0377796743468475
