date,2021_11_09__22_32_58_daily_actor_0_lr_0.0001_critic_lr_0.001_epoch_5000_gamma_1.0,2021_11_09__22_32_58_daily_actor_1_lr_0.0001_critic_lr_0.001_epoch_5000_gamma_1.0,2021_11_09__22_32_58_daily_actor_2_lr_0.0001_critic_lr_0.001_epoch_5000_gamma_1.0,2021_11_09__22_32_58_daily_actor_3_lr_0.0001_critic_lr_0.001_epoch_5000_gamma_1.0
2015-01-05,1.015707919461911,1.0157084570631105,0.9847346740974073,0.9847346740974073
2015-01-06,1.0340078307407392,1.0340088087917667,0.9728616428398352,0.9728616428398352
2015-01-07,1.031965807122092,1.031966712391462,0.9811000726920283,0.9811000726920283
2015-01-08,1.0183002524985365,1.0183003717529608,1.0026653743639449,1.0026653743639449
2015-01-09,1.0294516284320927,1.0294533471457825,0.999515386479283,0.999515386479283
2015-01-12,1.0353413944571068,1.0353440780097176,0.9878846619820697,0.9878846619820697
2015-01-13,1.0353413054156029,1.0353440885030571,0.9871577417009938,0.9871577417009938
2015-01-14,1.0431952661765236,1.0431983190142877,0.9815846862127457,0.9815846862127457
2015-01-15,1.0596101987363016,1.059613653619244,0.968984734674098,0.968984734674098
2015-01-16,1.0461012332467081,1.04610438548173,0.9784346983280839,0.9784346983280839
2015-01-20,1.060003005170094,1.060006369185605,0.9866731281802767,0.9866731281802767
2015-01-21,1.0477508409315748,1.047753785087096,0.9883692755027872,0.9883692755027872
2015-01-22,1.0439817119739336,1.0439837790819257,1.0046038284468142,1.0046038284468142
2015-01-23,1.0585090475338699,1.0585141847289805,1.0043615216864556,1.0043615216864556
2015-01-26,1.055289468031704,1.055293996854595,1.0002423067603592,1.0002423067603592
2015-01-27,1.0569350226517873,1.0569433430149344,0.9714078022776842,0.9714078022776842
2015-01-28,1.0742109330671625,1.0742226182869756,0.9697116549551739,0.9697116549551739
2015-01-29,1.0671425685174345,1.0671538203896975,0.9789193118488011,0.9789193118488011
2015-01-30,1.0860691474748838,1.0860825356292854,0.9668039738308704,0.9668039738308704
2015-02-02,1.0797862661508608,1.0797991582053685,0.9767385510055737,0.9767385510055737
2015-02-03,1.0569323453906054,1.0569433745138546,0.98788466198207,0.98788466198207
2015-02-04,1.058738066860111,1.0587498304401837,0.9898231160649388,0.9898231160649388
2015-02-05,1.047115609896768,1.0471256200592618,0.9990307729585661,0.9990307729585661
2015-02-06,1.0285823136123347,1.0285896930903906,0.9958807850739042,0.9958807850739042
2015-02-09,1.0269324919752938,1.026940294169763,0.9944269445117526,0.9944269445117526
2015-02-10,1.0187655245441958,1.0187719340360906,1.0092076568936281,1.0092076568936281
2015-02-11,1.0206503363070965,1.0206569505733978,1.013084565059366,1.013084565059366
2015-02-12,1.0172748994445096,1.0172796662207735,1.026896050399807,1.026896050399807
2015-02-13,1.0068338185381605,1.006833500529028,1.0334383329294896,1.0334383329294898
2015-02-17,0.9916827739087768,0.9916748620648834,1.0339229464502069,1.0339229464502075
2015-02-18,0.9975719877797231,0.9975654872464685,1.0348921734916414,1.034892173491642
2015-02-19,0.9909763084392799,0.9909679325607412,1.0385267748970204,1.038526774897021
2015-02-20,0.9938834237768156,0.9938739627832168,1.04385752362491,1.0438575236249108
2015-02-23,1.0052656435268255,1.0052625730616749,1.044584443905986,1.0445844439059881
2015-02-24,1.018455648193971,1.0184576709770081,1.047734431790648,1.047734431790651
2015-02-25,1.0228494665348022,1.0228560350685838,1.041192149260966,1.0411921492609735
2015-02-26,1.0088786909655174,1.00887557948472,1.0477344317906492,1.0477344317906598
2015-02-27,1.0173530461928577,1.0173581274457129,1.0440998303852704,1.044099830385284
2015-03-02,0.9964865450524277,0.9964659695083316,1.0523382602374645,1.0523382602374884
2015-03-03,0.9928727822255098,0.9928529871649515,1.0453113641870673,1.0453113641871115
2015-03-04,0.9931837614443485,0.9931671173599809,1.0411921492609713,1.0411921492610188
2015-03-05,0.9919283538020084,0.9919105256814243,1.0399806154591784,1.0399806154592275
2015-03-06,0.9700199880080441,0.969997301797516,1.0271383571601722,1.027138357160223
2015-03-09,0.9789722477695052,0.9789510935071687,1.0319844923673445,1.0319844923673958
2015-03-10,0.9918419936256722,0.9918319697232066,1.0109038042161447,1.0109038042161953
2015-03-11,0.9990661716711402,0.9990579601800014,1.0043615216864623,1.0043615216865127
2015-03-12,0.9983614088015135,0.9983511499304357,1.010903804216145,1.0109038042161955
2015-03-13,0.9952971028071712,0.9952879969105645,1.0053307487278966,1.005330748727947
2015-03-16,1.0048802428284362,1.0048701040636567,1.0172037799854687,1.0172037799855198
2015-03-17,1.013202347320336,1.013195607163057,1.0174460867458275,1.0174460867458786
2015-03-18,1.032757300079998,1.032752621685968,1.0312575720862684,1.0312575720863202
2015-03-19,1.027495413278009,1.0274902138728503,1.0283498909619653,1.028349890962021
2015-03-20,1.0329140000096635,1.0329096652799366,1.0307729585655516,1.030772958565611
2015-03-23,1.0316566913282539,1.0316530296880655,1.0307729585655545,1.0307729585656478
2015-03-24,1.0416168176936191,1.0416278623247974,1.027380663920535,1.0273806639206409
2015-03-25,1.0328136815470461,1.0328310394857356,1.0009692270414468,1.0009692270415578
2015-03-26,1.0167176415619161,1.0167298962021627,1.0016961473225225,1.001696147322634
2015-03-27,1.0293598460419642,1.0293752270644387,1.0024230676035983,1.0024230676037098
2015-03-30,1.0242618611259717,1.0242699940842237,1.0145384056215292,1.0145384056216424
2015-03-31,1.026454999534491,1.0264691198642966,1.004119214926109,1.0041192149262217
2015-04-01,1.0377595518148326,1.0377791969512977,1.0026653743639573,1.0026653743640703
