date,2021_11_15__18_19_24_daily_lr_1e-06_epoch_10000,2021_11_15__18_19_24_daily_lr_1e-05_epoch_10000,2021_11_15__18_19_24_daily_lr_0.0001_epoch_10000,2021_11_15__18_19_24_daily_lr_0.001_epoch_10000,2021_11_15__18_19_24_daily_lr_0.01_epoch_10000
2016-03-11,1.0086426857849686,1.0225276633007527,1.0241667900006322,1.0241668290781523,1.0241668290781523
2016-03-18,1.0118852804431093,1.0293108849590449,1.0300623739627515,1.030062366010524,1.030062366010524
2016-03-25,1.0243125984184058,1.0461649462471778,1.0568602153643312,1.0568602611576687,1.0568602611576687
2016-04-01,1.0289022180796572,1.0502215364155822,1.0634500351931813,1.0634501071915803,1.0634501071915803
2016-04-08,1.0407101220719164,1.0624432180352696,1.0778113056317304,1.0778113428181637,1.0778113428181637
2016-04-15,1.044068446980613,1.0693358488498572,1.0764957203961996,1.0764958097836677,1.0764958097836677
2016-04-22,1.0454818461131536,1.0693240034816913,1.0778111967153214,1.077811342818164,1.077811342818164
2016-04-29,1.04353888129455,1.0664792806467356,1.064721069345233,1.075959851880725,1.075959851880725
2016-05-06,1.0264863103660693,1.0511239437382458,1.0335265626254222,1.0444357824985382,1.0444357824985382
2016-05-13,1.0205094990593047,1.0497261327434013,1.0153984814501182,1.0261157669070355,1.0261157669070355
2016-05-20,1.0283869233777378,1.061139641044653,1.0229376848320915,1.0335217306567919,1.0335217306567919
2016-05-27,1.0254186630918223,1.0587489267868446,1.0160207867801838,1.0357142857142858,1.0357142857142858
2016-06-03,1.0369550794843372,1.0644882741573678,1.0412097458203247,1.0613915416098225,1.0613915416098225
2016-06-10,1.047926264869328,1.0757573211733071,1.0530274961653525,1.0734384135646071,1.0734384135646071
2016-06-17,1.056059618810041,1.080038172535278,1.0552141618092226,1.0756675112063925,1.0756675112063925
2016-06-24,1.0507984144375417,1.0619970230357405,1.0376760436659123,1.0577860066263884,1.0577860066263884
2016-07-01,1.0440504813297244,1.0594351642978421,1.0282897465961534,1.0436620376507884,1.0543266419801207
2016-07-08,1.0537205542036043,1.047168022279888,1.014196146965902,1.029381175659085,1.0398557786006626
2016-07-15,1.0765319411627756,1.0686330006048426,1.039402159499666,1.050145411460512,1.0608312219840184
2016-07-22,1.091423451254964,1.0948808732177182,1.0222715812947005,1.0802184705628142,1.0912102903917362
2016-07-29,1.0957867844705507,1.1088805188481767,1.0393885352941872,1.0983057150020477,1.1094815825375168
2016-08-05,1.106209701057141,1.1176989324976103,1.0526712881298075,1.1123414166868923,1.1236601052426427
2016-08-12,1.1065754330221909,1.1233946050834458,1.0623023880648763,1.1225185062247005,1.1339407522900018
2016-08-19,1.1161140271896113,1.1343689989642365,1.074672195944793,1.1355895548727861,1.147144806080686
2016-08-26,1.1144982129977072,1.1343527720197923,1.0740787525651243,1.1349625303988928,1.1465114012862991
2016-09-02,1.1154391964043198,1.1332815152503677,1.073667888624092,1.134528436532351,1.1460728902748
2016-09-09,1.1170293501871493,1.1346870577594728,1.0762239686238597,1.1372294650352766,1.148801403235237
2016-09-16,1.112005157593459,1.1331238076423193,1.0771139982909426,1.1381700017461167,1.1497515104268174
2016-09-23,1.0951220037296108,1.1204280979849643,1.0732112689816349,1.1340461100139718,1.1455856558175797
2016-09-30,1.1042171935966665,1.1291952564472898,1.082842362353051,1.14422319955178,1.1558663028649387
2016-10-07,1.112646245853954,1.1349473045789986,1.0866765963910106,1.164992623917929,1.1599590723055933
2016-10-14,1.1021667357662102,1.1320343457933815,1.0869048567129687,1.136839179448968,1.160202689534204
2016-10-21,1.0931187200332586,1.1263021049521347,1.0836640373968573,1.1334463494600082,1.1567433248879362
2016-10-28,1.0932183396430657,1.1257939518027833,1.0833901348237596,1.133159896568523,1.156450984213604
2016-11-04,1.093468937366447,1.128237114118042,1.0876807629625806,1.137647658535131,1.1610309881114798
2016-11-11,1.0787695976742826,1.107590066670723,1.0661818739570494,1.115161106556723,1.1380822451763792
2016-11-18,1.06922491990142,1.1217614729200793,1.0738502752822563,1.1231817875183432,1.146267784057689
2016-11-25,1.0589100308666786,1.1236732398147962,1.0706094325495434,1.119792094969087,1.142808419411421
2016-12-02,1.0714234480536173,1.1422612333015638,1.093375009675616,1.1436034915738977,1.1671092379653092
2016-12-09,1.0640536966315348,1.133605959626585,1.0809709733273307,1.1306295626969909,1.1538686415903336
2016-12-16,1.0681469266184962,1.1467465528001533,1.0934321284470976,1.1179252271958147,1.1671701422724619
2016-12-23,1.0762472416271682,1.1644263913465074,1.11511361531218,1.1019744366847368,1.1903137789904505
2016-12-30,1.078753474041761,1.165374724301804,1.1181718601094208,1.1079231432635743,1.1935782498538299
2017-01-06,1.0765561282957037,1.1602001893901623,1.1126031312391127,1.1024054625892812,1.187633989475736
2017-01-13,1.0882330010133725,1.1697954881874029,1.1193929073273878,1.109132962591749,1.1948816020268955
2017-01-20,1.0963399869458947,1.1793939957729884,1.1301309145519145,1.1197725886460723,1.2063437926330152
2017-01-27,1.0940924080579342,1.1758482388708837,1.1320023508032337,1.1216268911677612,1.2083414539076207
2017-02-03,1.1008352022921322,1.1869970256195004,1.150488707782574,1.1399437819307827,1.2280744494250635
2017-02-10,1.0983705290865609,1.184681178653924,1.1498953369275875,1.135072664487981,1.2274410446306763
2017-02-17,1.1109954465628613,1.1979498205291503,1.1645930972176217,1.1495912821948566,1.2431299941531866
2017-02-24,1.120876612761892,1.2164030952779392,1.1838554123538585,1.1686054517130127,1.2636912882479052
