date,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_5000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_10000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_30000_sum_loss_True,2021_11_07__18_28_36_daily_actor_lr_0.0001_critic_lr_0.001_epoch_50000_sum_loss_True
2020-06-08,2.4695905015763873,2.46959050157531,1.573285303996548,1.230835689601046
2020-06-09,2.4812212260736075,2.481221226072525,1.561553813951277,1.2448162111216245
2020-06-10,2.5226556820949537,2.5226556820938533,1.5528403835857019,1.2632736412190178
2020-06-11,2.37799854616078,2.377998546159742,1.4633208392153538,1.287150486962028
2020-06-12,2.408771504726341,2.4087715047252902,1.4808450567103648,1.2747408105561215
2020-06-15,2.4320329537207814,2.43203295371972,1.4946697171786514,1.2754476908577235
2020-06-16,2.483886600437554,2.4838866004364704,1.5234386408996277,1.2558906691800604
2020-06-17,2.4834019869168364,2.483401986915753,1.5171104512486517,1.2610744580584774
2020-06-18,2.494548097893339,2.4945480978922507,1.5176945918318185,1.274426641533187
2020-06-19,2.4773443179078676,2.4773443179067867,1.5024095799056143,1.2754476908577237
2020-06-22,2.517082626606703,2.5170826266056046,1.5120478995278706,1.275604775369191
2020-06-23,2.535255633633609,2.5352556336325027,1.5190089081439446,1.2668865849827629
2020-06-24,2.478071238188944,2.4780712381878627,1.4802609161271978,1.2804743952246733
2020-06-25,2.50981342379594,2.509813423794845,1.496130068636569,1.2841658812441519
2020-06-26,2.460382844682755,2.4603828446816816,1.460594849827241,1.2979107759975295
2020-06-29,2.4872788950825764,2.487278895081491,1.4820620162586293,1.2938265786993828
2020-06-30,2.531863338988586,2.531863338987481,1.5010465852115584,1.287543198240696
2020-07-01,2.5359825539146845,2.535982553913578,1.5115611157085649,1.283537543198283
2020-07-02,2.5507632662965687,2.550763266295456,1.5198851190186955,1.284872761545754
2020-07-06,2.5953477102025793,2.595347710201447,1.5433480991092379,1.2796104304116036
2020-07-07,2.568209353042399,2.568209353041278,1.527430268217936,1.2975966069745952
2020-07-08,2.6101284225844625,2.6101284225833234,1.5391130798812767,1.2924128180961785
2020-07-09,2.6195783862384534,2.6195783862373108,1.5303509711337713,1.3129908890983784
