date,2021_11_18__16_09_20_daily_lr_0.0001_epoch_10000_metric_sharpe,2021_11_18__16_09_20_daily_lr_0.0001_epoch_30000_metric_sharpe,2021_11_18__16_09_20_daily_lr_0.0001_epoch_50000_metric_sharpe,2021_11_18__16_09_20_daily_lr_0.0001_epoch_10000_metric_sortino,2021_11_18__16_09_20_daily_lr_0.0001_epoch_30000_metric_sortino,2021_11_18__16_09_20_daily_lr_0.0001_epoch_50000_metric_sortino
2015-04-02,1.004529108001584,1.0098635112403442,1.0110150087020702,1.0038697151561575,0.9969870108467807,0.996784862203323
2015-04-06,0.9945113336989337,1.0096711306823531,1.0003034612332098,0.9996847548614793,0.9979962374708743,0.9966512356786272
2015-04-07,1.0034349520997778,1.0141932944764822,0.9947177564033978,1.0007540610322885,1.0070193869449156,0.993944107281507
2015-04-08,1.0116392546903936,1.0179956121477316,1.0030581078556189,1.0037828431634765,1.0046643125559709,0.9919655872979355
2015-04-09,1.012013029053924,1.018538306940345,1.006186534834566,1.0056613068473899,1.007860111617302,0.995028470373858
2015-04-10,1.0011371329294785,1.0185308776004374,1.0083877224128666,1.001906465092445,1.0108364141719985,0.9941504075060968
2015-04-13,1.0027558801018874,1.020820740246259,1.009868841443607,1.0054723820372857,1.0153086372124887,0.9979320475980092
2015-04-14,0.9993576997423086,1.0213952029066673,1.00530125977933,1.003831886962001,1.011717693230912,0.999313495491928
2015-04-15,1.0026210913554237,1.0223980373188588,1.0072244778287693,1.0078927252959624,1.010559934858714,1.003569526799408
2015-04-16,1.002467033504705,1.0277061585064708,1.0117457405406463,1.0100893698754145,1.0177139534570565,1.0033356815632402
2015-04-17,0.9991177214657935,1.0254178794515596,1.0082008395494653,1.0072399732042612,1.0146053420689771,0.9997502553882347
2015-04-20,1.0080549449854062,1.0166891225892671,0.9987646370554522,1.0066891943205474,1.0013783134177914,1.0109356469973614
2015-04-21,1.0074225046206413,1.0258624596119135,0.9899522285751047,1.0078642654355046,1.0153270184731882,1.0216819714009704
2015-04-22,1.0068077409041685,1.0243333507514807,0.9886400449502852,1.0051424813602174,1.0145851101731178,1.0208696919981484
2015-04-23,1.0036537436571602,1.0278318804167956,0.9941832410817651,1.0006286886851576,1.0234527016234933,1.029074300194755
2015-04-24,1.0077541701153963,1.0312655700901143,0.9966848667756435,1.0041267170854244,1.02716626436474,1.0325497867766484
2015-04-27,1.0144189063329747,1.036668376216455,1.0029010367420885,1.0088716888302498,1.0346936514623621,1.0379421268470284
2015-04-28,1.0158995814531457,1.0357421462652388,0.9995336718140247,1.0073222425622712,1.0366843034442093,1.039190849458804
2015-04-29,1.0114264128526265,1.0216639035097017,0.9920636462545489,1.001508949946312,1.0400258561816431,1.0424978437937766
2015-04-30,1.0047640486127434,1.0091754586102124,0.9799700802820963,0.9932744979449192,1.0350887593322198,1.0374836984652391
2015-05-01,0.9946334559790307,1.007601972638973,0.9786989146478733,0.9890285063497813,1.021233974913359,1.0245234909758045
2015-05-04,1.0031741249063897,1.0131824071705102,0.9893313086708264,0.987569507033271,1.033486973790199,1.0365526079488023
2015-05-05,1.001334326007532,1.0053486180378999,0.9920725644601406,0.9846665185285199,1.03486838229389,1.037125053977843
2015-05-06,0.989812936318461,1.0026001175759192,0.980711500981282,0.9775252198773563,1.0195065391976932,1.024619786770142
2015-05-07,0.9821317271437291,0.9857449555419546,0.9736534994168184,0.9673084703934656,1.011295353628554,1.0142734998570038
2015-05-08,0.9875109366850242,0.9989157993856262,0.9867366811067682,0.9755399770385073,1.0182292185275343,1.021410380508067
2015-05-11,1.0006071389450175,1.0107363538424599,0.9997282187315775,0.9837584230614915,1.0326789451468987,1.0358685858977823
2015-05-12,0.9957770249909232,1.0024357579635348,0.9754102859790643,0.9701372903705463,1.0274442080080226,1.0280252237639227
2015-05-13,0.9926525258795631,0.9995301236453775,0.9779400039465502,0.9695495439220598,1.021955780835955,1.0236641618822524
2015-05-14,0.9937527334023122,0.9997893711361403,0.9701491502951675,0.9664376781059985,1.0221590020204547,1.0270123969207878
2015-05-15,1.0048150453560716,1.010948643677778,0.9802654132509658,0.9735619734448036,1.038268697204244,1.0424105655760014
2015-05-18,1.0057771109711964,1.031030366522753,0.9813270707454405,0.9830270038621503,1.0361383346080744,1.0409310908211198
2015-05-19,1.008931953260423,1.0314288035901924,0.9843839852038703,0.9770945800754788,1.0406738638134463,1.0444465920442878
2015-05-20,1.0081217796880644,1.0288022373417625,0.9756588213822597,0.9725698118983866,1.0384826604298607,1.0436814938229984
2015-05-21,1.0076192883110338,1.0290077522572671,0.9773057063378202,0.9731251317067492,1.0378116012657537,1.043582999256987
2015-05-22,1.0108027170675054,1.0432917380945241,0.9801520199752254,0.9814117850740097,1.041336581192171,1.046688807868855
2015-05-26,1.0086773624382606,1.0435934738600265,0.9778106732366749,0.9806653787359081,1.0389380284549354,1.0441990948454105
2015-05-27,0.9980678860066974,1.0604959085205847,0.9672969889343409,0.9844064668259507,1.0274754382116882,1.0327014493938391
2015-05-28,1.0081344240433898,1.0728286113679495,0.9764788057926443,0.990397391451962,1.0453795842379294,1.044407692670966
2015-05-29,1.0068114712092053,1.0702922460974973,0.9753769585312884,0.9885354222065453,1.0433390017327575,1.043222937317846
2015-06-01,1.0004620844023682,1.0651390240831802,0.9693170180909084,0.9864405182679319,1.0358317524186609,1.0367391840705664
2015-06-02,0.9933038767786934,1.0526902889078882,0.9712910623254029,0.9808588781978074,1.0385608521662872,1.038850664070025
