date,model_1
2015-01-16,1.0014854824982302
2015-01-23,1.0138760209442403
2015-01-30,1.0099436959446884
2015-02-06,1.0134724124892762
2015-02-13,1.0137863429147422
2015-02-20,1.016631385740503
2015-02-27,1.0281254134617157
2015-03-06,1.0158398377494682
2015-03-13,1.0021229064565318
2015-03-20,1.0218317492007687
2015-03-27,1.017320017584679
2015-04-03,1.0140080046355433
2015-04-10,1.017266114795172
2015-04-17,1.0200876364498597
2015-04-24,1.0226022478591767
2015-05-01,1.018802214545505
2015-05-08,1.002049605043588
2015-05-15,0.9997203189883905
2015-05-22,1.0058527350342406
2015-05-29,1.0126020978856825
2015-06-05,0.9993052771128055
2015-06-12,0.988033131394426
2015-06-19,0.993086878239442
2015-06-26,0.9867726256768995
2015-07-03,0.9737662118196359
2015-07-10,0.976024284735914
2015-07-17,0.9894655994946672
2015-07-24,0.9996363014125358
2015-07-31,0.9997599607475551
2015-08-07,1.001329378276144
2015-08-14,1.0051641143857515
2015-08-21,0.9979691191724772
2015-08-28,0.9565783866433786
2015-09-04,0.9557410215133354
2015-09-11,0.9609378004128932
2015-09-18,0.9645888472306239
2015-09-25,0.9565795764852235
2015-10-02,0.953803615624776
2015-10-09,0.9782190942650498
2015-10-16,0.9877678151784696
2015-10-23,0.9978997750637929
2015-10-30,1.0123908391622216
2015-11-06,1.012247441216583
2015-11-13,0.9937251934136061
2015-11-20,1.001078875302274
2015-11-27,1.0087462169724866
2015-12-04,1.010517582852573
2015-12-11,1.005411900093094
2015-12-18,0.998652172141903
2015-12-25,0.9979350809606617
2016-01-01,0.9982188551234374
2016-01-08,0.975232203833124
2016-01-15,0.9612150135057328
2016-01-22,0.956245430806501
2016-01-29,0.9659717765200655
2016-02-05,0.9758167225806768
2016-02-12,0.9647932935901352
2016-02-19,0.9834692860869795
2016-02-26,0.9939318649268938
2016-03-04,1.003023775383494
2016-03-11,1.0066300941383826
2016-03-18,1.019002570727612
2016-03-25,1.0229975790530086
2016-04-01,1.0341672709488359
2016-04-08,1.0374276160736988
2016-04-15,1.0394043845648193
2016-04-22,1.038796442902342
2016-04-29,1.023497859775304
2016-05-06,1.0183662228098949
2016-05-13,1.0257720109217454
2016-05-20,1.021962710786804
2016-05-27,1.0334484693137902
2016-06-03,1.044196516517307
2016-06-10,1.0528501433469586
2016-06-17,1.0479240258003575
2016-06-24,1.0415749700553614
2016-07-01,1.0491552767837025
2016-07-08,1.072324406805028
2016-07-15,1.0838204390253234
2016-07-22,1.0870287612404788
2016-07-29,1.095579358401338
2016-08-05,1.0949225713722606
2016-08-12,1.103168449188063
2016-08-19,1.1021777110013162
2016-08-26,1.1027059369477434
2016-09-02,1.1037957949105253
2016-09-09,1.0990342176958612
2016-09-16,1.0819428207401998
2016-09-23,1.0901261929615604
2016-09-30,1.0989689616553944
2016-10-07,1.08930594173779
2016-10-14,1.0797449693333037
2016-10-21,1.0796706473995206
2016-10-28,1.0778540169892856
2016-11-04,1.063528466717113
2016-11-11,1.0595872176056813
2016-11-18,1.049814131935578
2016-11-25,1.0587096028969099
2016-12-02,1.052836880208839
2016-12-09,1.0580340712067386
2016-12-16,1.0630492556942437
2016-12-23,1.0650725078629968
2016-12-30,1.0632728171340267
2017-01-06,1.0746761122883308
2017-01-13,1.082057850826002
2017-01-20,1.0793606020872464
2017-01-27,1.0842192069314225
2017-02-03,1.0818050265186185
2017-02-10,1.0939931281288144
2017-02-17,1.103027914416684
2017-02-24,1.1142188567884026
2017-03-03,1.1159235253069162
2017-03-10,1.1075975747248346
2017-03-17,1.1109345693460353
2017-03-24,1.1120330858721956
2017-03-31,1.1173562741446605
2017-04-07,1.1178873864656345
2017-04-14,1.1176741005497175
2017-04-21,1.1239377861515616
2017-04-28,1.1320603586984006
2017-05-05,1.1353612753101654
2017-05-12,1.1374090726884356
2017-05-19,1.1415899441405195
2017-05-26,1.1519157717751787
2017-06-02,1.163999103685975
2017-06-09,1.1682899401981435
2017-06-16,1.1622326688959606
2017-06-23,1.169550726335772
2017-06-30,1.1603624444933112
2017-07-07,1.1471328395315965
2017-07-14,1.1575167094337633
2017-07-21,1.174553453486471
2017-07-28,1.174351717650341
2017-08-04,1.177043464046108
2017-08-11,1.1778321566557273
2017-08-18,1.1792429478332103
2017-08-25,1.1805085857383082
2017-09-01,1.1899405078066791
2017-09-08,1.19434226562335
2017-09-15,1.1965798301063395
2017-09-22,1.1929429646439096
2017-09-29,1.1901955874087151
2017-10-06,1.1975370521622197
2017-10-13,1.2058434998546999
2017-10-20,1.2130562544240608
2017-10-27,1.2089116608074877
2017-11-03,1.2278732530982495
2017-11-10,1.2367377827081585
2017-11-17,1.232853738819647
2017-11-24,1.244358100751994
2017-12-01,1.2467608340685112
2017-12-08,1.245379678774365
2017-12-15,1.2576973418584785
2017-12-22,1.2553619635916504
2017-12-29,1.2555038530814013
2018-01-05,1.2676276069076997
2018-01-12,1.275016615936541
2018-01-19,1.2852149486024766
2018-01-26,1.296877657702697
2018-02-02,1.2820267910645236
2018-02-09,1.223494454409657
2018-02-16,1.241117172023791
2018-02-23,1.2488946315285772
2018-03-02,1.2583768814838299
2018-03-09,1.265277580923713
2018-03-16,1.2787009100989353
2018-03-23,1.2469811905536787
2018-03-30,1.235501991500661
2018-04-06,1.2309279228128172
2018-04-13,1.2428208495762356
2018-04-20,1.253981898056712
2018-04-27,1.2313661874821245
2018-05-04,1.2372884550465992
2018-05-11,1.2609145421021872
2018-05-18,1.2602430654658754
2018-05-25,1.2671590223778697
2018-06-01,1.2794559480168883
