date,2021_11_12__18_11_53_daily_0_lr_1e-06_crit_lr_9.999999999999999e-06_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_1_lr_1e-05_crit_lr_0.0001_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_2_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.0,2021_11_12__18_11_53_daily_3_lr_0.001_crit_lr_0.01_epoch_1000_gamma_1.0_lmbda_0.0
2015-01-06,0.9905810444629313,1.0180173213733406,0.9879429133858271,0.9879429027017581
2015-01-07,1.0029249065689596,1.0160068048252433,0.9963090551181107,0.9963090183802993
2015-01-08,1.0207218069665147,1.0025518094649057,1.0182086614173245,1.0182086416217608
2015-01-09,1.0125422368027044,1.0135323229202589,1.015009842519742,1.0150097193529106
2015-01-12,1.0046105103953513,1.0193318898860848,1.003198818897718,1.0031988402371415
2015-01-13,1.0017847640141058,1.019331889886091,1.0024606299213406,1.0024606403093392
2015-01-14,0.995736810284555,1.0270646458403185,0.9968011811024426,0.9968011658909087
2015-01-15,0.9866147775922423,1.0432261057846515,0.9840059055118907,0.9840058776792245
2015-01-16,0.9995540122795085,1.0299257655433829,0.9936023622048048,0.9936023232326385
2015-01-20,1.0016609238156988,1.043612743582364,1.001968503937089,1.001968400812981
2015-01-21,1.006742173083109,1.0315496442937762,1.0036909448819715,1.0036908950792898
2015-01-22,1.0217134497585691,1.0278379214357731,1.0201771653544172,1.020177063636706
2015-01-23,1.0161115556599067,1.0421435199524451,1.019931102362503,1.019930817890223
2015-01-26,1.0184911901363836,1.0389730900121195,1.0157480314965002,1.015748046182845
2015-01-27,1.005056712992379,1.0405969687680736,0.9864665354344329,0.9864679982696066
2015-01-28,0.9921676038000089,1.057609031867872,0.9847440944896036,0.9847452640806909
2015-01-29,1.001339777186353,1.050649551509016,0.9940944881904046,0.9940956524936757
2015-01-30,0.9887471380152402,1.069285493358884,0.9817913385840922,0.9817925412734878
2015-02-02,1.0009918779966775,1.063099288595455,0.9918799212612724,0.9918811348773969
2015-02-03,1.0154674022669792,1.0405969687684922,1.0031988188990857,1.0032000522586397
2015-02-04,1.0116006569577256,1.04237550263835,1.0051673228361488,1.0051684244722794
2015-02-05,1.0218128869893686,1.0309310238260778,1.0145177165369603,1.014518826047828
2015-02-06,1.018987123478012,1.0126817197747757,1.0113188976394425,1.0113199852077224
2015-02-09,1.0144263780205602,1.011057841024765,1.0098425196867433,1.0098435231693372
2015-02-10,1.0252334484724055,1.0030157748323447,1.0248523622064605,1.0248532887284894
2015-02-11,1.0258284383114566,1.0048716362618124,1.0287893700805482,1.0287902112681784
2015-02-12,1.0356937065543028,1.0015465512021142,1.0428149606318549,1.0428156413896335
2015-02-13,1.0399570822065964,0.9912619857918324,1.0494586614208568,1.0494588872485406
2015-02-17,1.0415929379318847,0.9763377668248009,1.0499507874098997,1.049950864788306
2015-02-18,1.0416920871606983,0.9821373337948878,1.050935039379168,1.0509351284713535
2015-02-19,1.040948474910189,0.975641818800279,1.0546259842624464,1.0546256038612798
2015-02-20,1.0471898752382314,0.9785029385128481,1.0600393700910742,1.060039002310909
2015-02-23,1.047041229937872,0.9897154346933317,1.0607775590771884,1.0607772946543081
2015-02-24,1.0500206704895,1.0027064647293162,1.0639763779813498,1.0639762562889905
2015-02-25,1.0491283184477038,1.0070368081935075,1.0573326772223128,1.0573342906810823
2015-02-26,1.0478890467425028,0.9932725026944479,1.0639763780319411,1.0639755863582163
2015-02-27,1.044319720559204,1.001623879218665,1.0602854331694758,1.0602850540553683
2015-03-02,1.050912896939338,0.9810547486042668,1.0686515749547398,1.0686493750588233
2015-03-03,1.0465999344043662,0.9774976812216912,1.0615157482666011,1.0615147551624342
2015-03-04,1.0421884784632054,0.9778069915585874,1.0573326774210525,1.0573317723125792
2015-03-05,1.0433282293792703,0.9765697506590919,1.0561023624716026,1.0561019009019552
2015-03-06,1.0286544623208542,0.9549953615925402,1.0430610239008182,1.043060002791903
2015-03-09,1.032917803865039,0.9638107034034871,1.047982283746868,1.0479812122288072
2015-03-10,1.0161619058895945,0.9764924231990865,1.0265748034287887,1.026574706020489
2015-03-11,1.0137823426234256,0.9836065586875732,1.0199311026397604,1.0199312912499894
2015-03-12,1.0266714244224788,0.982910610651619,1.0265748034290965,1.0265752658182783
2015-03-13,1.020361657979895,0.979894835834213,1.0209153546101197,1.020915744476275
2015-03-16,1.034008263770198,0.9893287981145502,1.0329724412281531,1.0329729448731395
2015-03-17,1.0309347437676317,0.9975255194435443,1.033218504221387,1.0332188328163836
2015-03-18,1.0433281127814147,1.0167800818015331,1.0472440947773871,1.0472443586325595
2015-03-19,1.0385689794117023,1.011599135400661,1.0442913388885198,1.044291187586776
2015-03-20,1.0430800766782684,1.0169347370984338,1.0467519688256899,1.0467522794221826
2015-03-23,1.0410475781315935,1.0156974965845713,1.046751968914823,1.0467514065229726
2015-03-24,1.0351979519343988,1.0255180968918913,1.0433070870689003,1.0433064655663935
2015-03-25,1.0200282816574815,1.0168574103657417,1.0164862209470455,1.016489198964006
2015-03-26,1.0175992186743361,1.001005260631324,1.0172244099252075,1.017226896622594
2015-03-27,1.0199291482269712,1.013454997751583,1.017962598902683,1.017965269448227
2015-03-30,1.032372166835985,1.0084287063846558,1.0302657485173472,1.0302681665413143
2015-03-31,1.023349781143161,1.0105938780924,1.0196850398573207,1.019687936317961
2015-04-01,1.0197309260445273,1.021729046704045,1.0182086619056494,1.0182114394651158
