date,2021_11_10__01_00_49_daily_2_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.5
2015-01-06,0.9905811353364538
2015-01-07,1.0029245266198967
2015-01-08,1.0207212986949867
2015-01-09,1.012544960200015
2015-01-12,1.0046129123562322
2015-01-13,1.0017874997893021
2015-01-14,0.995739683337655
2015-01-15,0.9866176174586495
2015-01-16,0.9995565870154751
2015-01-20,1.001664068831702
2015-01-21,1.0067445274551727
2015-01-22,1.0217154828004016
2015-01-23,1.0161192041339588
2015-01-26,1.0184949202093123
2015-01-27,1.0050509031999066
2015-01-28,0.9921685028837658
2015-01-29,1.001340377553748
2015-01-30,0.9887489224351377
2015-02-02,1.000993174010163
2015-02-03,1.0154671317152109
2015-02-04,1.011603195332587
2015-02-05,1.0218141035503494
2015-02-06,1.0189864853295578
2015-02-09,1.0144271414031563
2015-02-10,1.0252343404174362
2015-02-11,1.025830685758027
2015-02-12,1.03569644686595
2015-02-13,1.0399581999593674
2015-02-17,1.041587050221468
2015-02-18,1.0416880391047196
2015-02-19,1.0409467927394478
2015-02-20,1.0471865774833247
2015-02-23,1.0470441311853196
2015-02-24,1.0500277292747346
2015-02-25,1.0491279541709515
2015-02-26,1.0478954448812492
2015-02-27,1.0443322865470845
2015-03-02,1.0509103007345384
2015-03-03,1.0465912795366519
2015-03-04,1.0421826203101214
2015-03-05,1.04331777451486
2015-03-06,1.0286429201572074
2015-03-09,1.032908187937155
2015-03-10,1.0161563440007118
2015-03-11,1.013775752500576
2015-03-12,1.026660165328509
2015-03-13,1.0203519621310744
2015-03-16,1.0339966933525475
2015-03-17,1.030928366069843
2015-03-18,1.0433244974855163
2015-03-19,1.0385681755478955
2015-03-20,1.0430765491138083
2015-03-23,1.041049707680597
2015-03-24,1.0352150539783793
2015-03-25,1.0200275453843406
2015-03-26,1.0175981502103357
2015-03-27,1.0199287899518903
2015-03-30,1.0323671745593281
2015-03-31,1.023346679061542
2015-04-01,1.0197330466645607
2015-04-02,1.0233695119862258
2015-04-06,1.0302844589842461
2015-04-07,1.0275618087655265
2015-04-08,1.031006122753403
2015-04-09,1.0355813949413821
2015-04-10,1.0412266053862531
2015-04-13,1.036527138167435
2015-04-14,1.0385046513814782
2015-04-15,1.0431691738212854
2015-04-16,1.04286030083723
2015-04-17,1.0308774263166618
2015-04-20,1.040300548778715
2015-04-21,1.0390605488305373
2015-04-22,1.0441647241374084
2015-04-23,1.0467971492888937
2015-04-24,1.0492456992370167
2015-04-27,1.0449070730331445
2015-04-28,1.0482183467564632
2015-04-29,1.0438959763136355
2015-04-30,1.033435039517838
2015-05-01,1.0446326979072569
2015-05-04,1.047592557771844
2015-05-05,1.0355933384645148
2015-05-06,1.031319558196653
2015-05-07,1.0354395241017418
2015-05-08,1.0490710103242524
2015-05-11,1.0440234090453315
2015-05-12,1.040923712149573
2015-05-13,1.0411249945904284
2015-05-14,1.0519875992104055
2015-05-15,1.0531318939064152
2015-05-18,1.0563893685908774
2015-05-19,1.0560294040403122
2015-05-20,1.0552912441552922
2015-05-21,1.0583767355619853
2015-05-22,1.0558578581572362
2015-05-26,1.044523604648019
2015-05-27,1.0544506963235982
2015-05-28,1.0532579259919135
2015-05-29,1.0467168426874685
2015-06-01,1.0488427030182
2015-06-02,1.047794258746681
2015-06-03,1.050562729826331
2015-06-04,1.0416941165923017
2015-06-05,1.0399084878288518
