date,2021_11_12__18_04_54_daily_0_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.1,2021_11_12__18_04_54_daily_1_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.3,2021_11_12__18_04_54_daily_2_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.5,2021_11_12__18_04_54_daily_3_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_0.7,2021_11_12__18_04_54_daily_4_lr_0.0001_crit_lr_0.001_epoch_1000_gamma_1.0_lmbda_1.0
2015-01-06,0.9879429133860376,0.9905810033710112,0.9905810033710111,0.9879429133858298,0.9879429133858271
2015-01-07,0.9963090551183662,1.0029248463216365,1.002924846321636,0.9963090551181142,0.9963090551181107
2015-01-08,1.0182086614181056,1.0207217925837873,1.0207217925837866,1.0182086614173353,1.0182086614173242
2015-01-09,1.015009842534394,1.0125421376167492,1.0125421376167298,1.0150098425199916,1.0150098425197398
2015-01-12,1.0031988189188443,1.0046103509819102,1.0046103509818813,1.003198818898077,1.003198818897714
2015-01-13,1.0024606299428889,1.0017846519932156,1.001784651993187,1.0024606299217054,1.0024606299213366
2015-01-14,0.9968011811239866,0.9957366646840731,0.9957366646840445,0.9968011811028068,0.9968011811024386
2015-01-15,0.9840059055331948,0.9866146143172251,0.9866146143171967,0.9840059055122506,0.9840059055118867
2015-01-16,0.9936023622263271,0.9995538370021393,0.9995538370021105,0.9936023622051684,0.9936023622048008
2015-01-20,1.0019685039588768,1.0016607178270465,1.0016607178270176,1.0019685039374566,1.001968503937085
2015-01-21,1.0036909449041584,1.0067420186400589,1.0067420186400307,1.0036909448823454,1.0036909448819675
2015-01-22,1.0201771653785612,1.0217132659135255,1.0217132659134995,1.0201771653548237,1.020177165354412
2015-01-23,1.019931102434552,1.0161114416033614,1.0161114416035375,1.0199311023639441,1.019931102362468
2015-01-26,1.0157480316007261,1.0184909775943463,1.0184909775946176,1.0157480314986431,1.0157480314964424
2015-01-27,0.986466535692045,1.0050565139845222,1.0050565139855832,0.9864665354400844,0.9864665354342439
2015-01-28,0.9847440947615296,0.9921673607028804,0.9921673607039874,0.9847440944955198,0.984744094489404
2015-01-29,0.9940944884651017,1.0013394804729046,1.0013394804740225,0.9940944881963796,0.9940944881902031
2015-01-30,0.9817913388574616,0.9887467777165633,0.9887467777176785,0.981791338590029,0.9817913385838921
2015-02-02,0.991879921537558,1.000991473334312,1.0009914733354413,0.9918799212672715,0.99187992126107
2015-02-03,1.003198819179421,1.015466983943154,1.0154669839443036,1.0031988189051686,1.0031988188988805
2015-02-04,1.0051673231317182,1.0116002379587827,1.0116002379600513,1.00516732284254,1.005167322835935
2015-02-05,1.0145177168390123,1.0218124132513557,1.0218124132526611,1.0145177165434827,1.0145177165367427
2015-02-06,1.0113188979701426,1.0189867142630487,1.0189867142646307,1.0113188976466083,1.0113188976392038
2015-02-09,1.0098425200336199,1.0144259369481263,1.0144259369498312,1.0098425196942458,1.0098425196864935
2015-02-10,1.0248523625614374,1.025232996238318,1.0252329962400568,1.0248523622141286,1.0248523622062056
2015-02-11,1.0287893704560964,1.025827880236161,1.0258278802380465,1.0287893700886506,1.0287893700802826
2015-02-12,1.0428149610387465,1.0356930398637598,1.0356930398658626,1.0428149606406363,1.0428149606315715
2015-02-13,1.0494586620788355,1.0399563751849108,1.0399563751901217,1.049458661436161,1.0494586614204249
2015-02-17,1.0499507886794883,1.0415923061924113,1.0415923062058536,1.0499507874419527,1.049950787409067
2015-02-18,1.0509350407892872,1.041691453527654,1.041691453542534,1.050935039414676,1.050935039378234
2015-02-19,1.0546259858944251,1.040947848534652,1.0409478485520054,1.0546259843037962,1.0546259842613273
2015-02-20,1.0600393720118209,1.0471891731484912,1.0471891731690481,1.0600393701401132,1.0600393700896955
2015-02-23,1.0607775620885647,1.0470404521761099,1.0470404522137342,1.0607775591583546,1.0607775590746444
2015-02-24,1.0639763817853458,1.050019829548879,1.05001982959776,1.0639763780855689,1.0639763779777933
2015-02-25,1.0573326836315797,1.0491275036261323,1.0491275037214478,1.0573326774110388,1.0573326772137916
2015-02-26,1.0639763865920222,1.047888162021637,1.0478881621528437,1.0639763782883913,1.0639763780195584
2015-02-27,1.0602854437774645,1.044318858086794,1.0443188582488205,1.0602854334892293,1.0602854331536344
2015-03-02,1.068651590015726,1.0509121558595929,1.0509121560978347,1.0686515754268078,1.0686515749287757
2015-03-03,1.0615157700717899,1.0465992470890317,1.046599247448925,1.0615157489671425,1.0615157482286395
2015-03-04,1.057332701395539,1.042187686563863,1.0421876869563047,1.057332678189843,1.0573326773800278
2015-03-05,1.056102387766099,1.043327385187464,1.043327385599092,1.0561023632808002,1.0561023624289274
2015-03-06,1.0430610505103735,1.0286535799441583,1.028653580376325,1.043061024750274,1.043061023856926
2015-03-09,1.0479823108321535,1.0329169152698432,1.0329169157082203,1.0479822846095832,1.047982283702597
2015-03-10,1.02657483038341,1.0161610159994652,1.0161610164359862,1.0265748042852252,1.0265748033853044
2015-03-11,1.0199311294683326,1.013781480007836,1.0137814804437126,1.0199311034917609,1.0199311025965374
2015-03-12,1.0265748304693225,1.0266706332993007,1.0266706337410034,1.0265748042874632,1.0265748033855795
2015-03-13,1.0209153817729144,1.0203608970311466,1.020360897473548,1.02091535547064,1.0209153545667764
2015-03-16,1.0329724688321107,1.034007535948212,1.0340075363978882,1.032972442101675,1.0329724411842813
2015-03-17,1.0332185320407614,1.0309339686283023,1.030933969079067,1.03321850510013,1.0332185041775264
