,minVol,maxSharpe,SPY
2018-05-11,1.163832552602225,1.2762401074475214,1.3526174895895302
2018-05-14,1.1609471939767977,1.2727770251180566,1.353261947253619
2018-05-15,1.1502737113523271,1.2595217438136606,1.3439420979575651
2018-05-16,1.1503636682445733,1.2599255265984834,1.3495934959349594
2018-05-17,1.1469088824683258,1.253481173965544,1.3484533016061868
2018-05-18,1.1505767858774394,1.2562463134432373,1.3450822922863375
2018-05-21,1.1599140536686237,1.2671908145041626,1.3551953202458855
2018-05-22,1.157466875617759,1.2653667309940084,1.3514277215942891
2018-05-23,1.1633138567093044,1.274669556895795,1.355145746579417
2018-05-24,1.1614563932898074,1.2732102900876718,1.3523696212571883
2018-05-25,1.159656698997568,1.2722982483325949,1.3491473329367438
2018-05-29,1.1498291656039519,1.2653667309940086,1.3336307753321435
2018-05-30,1.1617279507785963,1.2746695568957953,1.3514277215942891
2018-05-31,1.1583358430730033,1.2750343735978262,1.3431489192940709
2018-06-01,1.1738818639442115,1.2967409673686618,1.356335514574658
2018-06-04,1.181376787001806,1.3071382433765408,1.362780091215546
2018-06-05,1.1838672674362716,1.3116984521519266,1.3637715645449138
2018-06-06,1.1926850327727332,1.3202716446496516,1.3751735078326393
2018-06-07,1.1878418904507717,1.3096919602907569,1.3750247868332341
2018-06-08,1.1886050971075393,1.307503060078572,1.3790898274836407
2018-06-11,1.1900588191866115,1.3089623268866954,1.3809240531429705
2018-06-12,1.193729989819276,1.3153466191722352,1.382708705135832
2018-06-13,1.1887629217746059,1.3085975101846643,1.3782966488201467
2018-06-14,1.1944848648723758,1.317900336086451,1.3817668054729328
2018-06-15,1.1866753453335241,1.3082326934826334,1.3738350188379933
2018-06-18,1.1861168084099114,1.3096919602907569,1.371009319849296
2018-06-19,1.1807875818232076,1.3029428513031862,1.3657545112036487
2018-06-20,1.1830345893664034,1.3056789765684174,1.3680844735276623
2018-06-21,1.17478143965904,1.295646517262569,1.3595082292286338
2018-06-22,1.1739503711413986,1.2914511251892142,1.3619869125520525
2018-06-25,1.1537727573919088,1.2646370975899466,1.3434463612928813
2018-06-26,1.1573798420709611,1.2697445314183786,1.3464207812809836
2018-06-27,1.1446881848712886,1.2524157380719132,1.3352667063256
2018-06-28,1.1549627145543522,1.267738039557209,1.342901050961729
2018-06-29,1.1555448412262157,1.2671908145041628,1.3448344239539956
2018-07-02,1.155004688278201,1.2709194932617234,1.3477096966091613
2018-07-03,1.1560915815607706,1.2667982124358816,1.3429506246281975
