date,2021_11_03__10_27_11_lr_1e-06_epoch_50000,2021_11_03__10_27_11_lr_1e-05_epoch_50000,2021_11_03__10_27_11_lr_0.0001_epoch_50000,2021_11_03__10_27_11_lr_0.001_epoch_50000,2021_11_03__10_27_11_lr_0.01_epoch_50000
2015-01-09,1.001283021893379,0.9816820233659962,0.9805509555294857,0.9805509555295001,0.9795124294463792
2015-01-16,1.0034115844151703,0.9747174417568892,0.9730468396813502,0.9730468396813694,0.9722108802690046
2015-01-23,1.0157674493829383,0.9882625370614766,0.9866008323657983,0.9866008292134562,0.98727032544734
2015-01-30,1.0113253125217967,0.9779225710015055,0.976460627651912,0.9764606848867992,0.9688483247267926
2015-02-06,1.014265387648803,0.9899422599976666,0.9887608360474847,0.9887608940033121,0.9811937072174853
2015-02-13,1.0143759193096809,1.003950247431065,1.0028691022094962,1.0028599402869611,1.0065089467995678
2015-02-20,1.017252499258137,1.0178375670888473,1.0171362974085356,1.0158519260275138,1.0287018133781674
2015-02-27,1.0290119233395123,1.0231472414187037,1.0218410993023588,1.020550787013592,1.0359072895400505
2015-03-06,1.016815009524033,1.0173825437746802,1.0166299165418378,1.0153461845845542,1.0320643689203792
2015-03-13,1.0021889136904998,0.9974098097050407,0.9967741585015201,0.9955154990614993,1.003818902365798
2015-03-20,1.0214894711540081,1.0129651619339075,1.0123845949665708,1.025146741925757,1.0160201753332532
2015-03-27,1.0166140550886102,1.002024500192519,1.0014379103279474,1.0333698441337036,1.0037708658580522
2015-04-03,1.012829830880696,0.9998149135699161,0.9994349668157787,1.0317472779892212,0.9971178095352468
2015-04-10,1.0161340768377907,1.0079129000965974,1.0076606943959283,1.0259501484633118,1.0052119610904287
2015-04-17,1.0186049976526867,1.0126943787034488,1.0127907440432697,1.0284888160052912,1.0064128737840758
2015-04-24,1.0221816666733392,1.0183360684693128,1.0181672875006986,1.0166835914491266,1.0223129578479644
2015-05-01,1.0196151675525693,1.0174700272677368,1.0172680541341408,0.9961781212921573,1.0351867419238618
2015-05-08,1.0024872850573923,1.0108546150889062,1.0141639147621135,0.9635516747827997,1.0239942356190703
2015-05-15,1.000423626072263,1.0154052750823919,1.0204543903430692,0.9695282217620245,1.0323525879668547
2015-05-22,1.0069233756477685,1.0248269951976603,1.0303615267499706,0.9789409387185439,1.0452744085504981
2015-05-29,1.0133513645927827,1.0201206353142285,1.0238341308742671,0.9727392950429455,1.0436531764140746
2015-06-05,1.0002778212971903,1.0151861539138862,1.0199652708121167,0.9690635119292664,1.0396061006364838
2015-06-12,0.9884463974313196,1.0093895410547,1.0149085214027493,0.964259121542831,1.0260117689443977
2015-06-19,0.992946164154751,1.0131142905267339,1.018795948279835,0.9679525448874096,1.0252912213282095
2015-06-26,0.9867057953927063,1.013481556542968,1.019347150598228,0.9684762392422378,1.025147111804972
2015-07-03,0.9724738074653186,0.9927076990511641,0.9985465157409854,0.9487136680626641,0.9978383571514353
2015-07-10,0.9742956306887759,0.9917592142731647,0.997627845210331,0.9478408441379503,0.9913774468596136
2015-07-17,0.9875215727623786,1.0079270848826867,1.0210200979856308,0.9700656975472433,1.0220247388014891
2015-07-24,0.9981331519757045,1.0233242750405123,1.0191344058437606,0.9682741115965147,1.0312477482886993
2015-07-31,0.997216832954575,1.0329873182458884,1.0136417230920574,0.963055543288752,1.0197189864296867
2015-08-07,0.9982698823307844,1.0418108811610902,1.0110597753901125,0.960602448679293,1.0143869340698932
2015-08-14,1.0021805166437447,1.048733853655342,1.0117366905179632,0.9612455820975032,1.017797526119851
2015-08-21,0.9939419472380505,1.055855957604235,0.9966995044635644,0.9469588325929765,0.9989191785757178
2015-08-28,0.954484723557358,1.0409904357216357,0.9377982181244364,0.8909970375884279,0.9435330851447103
2015-09-04,0.9512669888938057,1.0269864923225072,0.9465832131419953,0.8993436140529563,0.9523718025699534
2015-09-11,0.9550761519679588,1.0214961436933163,0.9608588300455289,0.9129068008078153,0.9667347183859735
2015-09-18,0.9570706474270536,1.0157530501392522,0.9697870586775048,0.9213894627581786,0.9757175453344544
2015-09-25,0.9522723108340622,1.0245510158684505,0.9539836165535263,0.9063746974877495,0.9598174612705659
2015-10-02,0.9524506475599261,1.043647900996717,0.9392782988067423,0.8924032542753862,0.9450222168848326
2015-10-09,0.9708287761418829,1.0335917529460266,0.9820096604410654,0.9330020908827401,0.9880148913174015
2015-10-16,0.9806204798175158,1.0428294527149322,0.9939935395139311,0.9443879098642436,1.0000720547616189
2015-10-23,0.9903740108458607,1.0420944608750677,1.0137120337653,0.9631223450808212,1.01991113246067
2015-10-30,1.005081891455713,1.0438999878676092,1.0442685381742014,0.9921539153922251,1.0506544974180376
2015-11-06,1.0038108148437053,1.0274035348564114,1.055918205480095,1.0032222015734478,1.062375405308034
2015-11-13,0.9854098729318451,1.0101133561571598,1.0347196305464197,0.9830815496699115,1.0410471958688603
2015-11-20,0.9928812344053244,1.0211243682328186,1.0399237852035608,0.9880259889885723,1.0462831752131618
2015-11-27,1.0003285432491482,1.027906362716736,1.04805229282171,0.995748840309692,1.0544613906568991
2015-12-04,1.0029931737798032,1.0323970469666883,1.0525283432722325,1.0000015117420264,1.058964813258076
2015-12-11,0.9990525016700318,1.0380927910645736,1.0441253045597847,0.9920178299063903,1.0505103878948
2015-12-18,0.9925116065951286,1.0375908191138068,1.0300884103469456,0.9786814522945892,1.0363876546175093
2015-12-25,0.9916283834801347,1.038184758433417,1.0266866120045486,0.975449422006015,1.032965053440615
