date,model_1,model_1,model_1,model_1,model_1
2015-04-02,1.0019879465782189,1.0009307989516163,1.0008649614612084,0.9985521888809411,0.998552123806333
2015-04-06,0.9995305534316213,0.9995734364671629,0.9991656712077374,0.9983107659651634,0.9983108113537855
2015-04-07,1.003251483318316,1.0044179148039574,1.0046523068136304,1.0079631100362223,1.0079633213455639
2015-04-08,1.0044033762263462,1.0046140968879778,1.0048203465098897,1.0057913758784645,1.0057915070630319
2015-04-09,1.0066877121650093,1.0071592823771651,1.007344422544308,1.0089284183208014,1.0089285731741104
2015-04-10,1.0047727838085045,1.0066137812741716,1.0065766945581616,1.011582748213888,1.0115830138916566
2015-04-13,1.0083543272902789,1.0104964968785624,1.0102292834890712,1.0154437443728206,1.0154440184218834
2015-04-14,1.0063388164133718,1.0080699547858722,1.0080219476921737,1.0125480254980055,1.0125482662626064
2015-04-15,1.0081398590507664,1.0095513382710395,1.0085903454601939,1.0094110233409161,1.0094112014404313
2015-04-16,1.012502857272216,1.0142603846362381,1.0140359105012062,1.0183394759684634,1.0183397738005815
2015-04-17,1.009488416583928,1.0114533235230392,1.010811670348847,1.0147197879444254,1.0147200836131445
2015-04-20,1.0046752376442047,1.005356852172419,1.0037947025930352,1.0007238974582946,1.0007239455424437
2015-04-21,1.0108051157489666,1.0125112987570384,1.01257095608762,1.0178568727502704,1.0178571514181494
2015-04-22,1.00875094265909,1.010651885711113,1.0108822503021466,1.0173742031409683,1.0173745272088002
2015-04-23,1.0089362247464182,1.0119015969936442,1.0134441100798859,1.0277503632032141,1.0277509766734436
2015-04-24,1.012593522962605,1.0154773463965872,1.0172412076320807,1.0318526363548195,1.0318532950713322
2015-04-27,1.0185178675700952,1.021245784687266,1.0240077691836798,1.0407812158356697,1.040781868682449
2015-04-28,1.0181928945667145,1.0207204348388372,1.024549614429701,1.0436768822009137,1.043677624044763
2015-04-29,1.0158137940765082,1.0193760584906923,1.0231545888512465,1.0470550601950974,1.0470560053431224
2015-04-30,1.0086869739118287,1.0126779658256995,1.0163012808957215,1.041987401957674,1.041988441042666
2015-05-01,1.0010210925658884,1.0043415151827777,1.0074230142301943,1.0275088001564607,1.0275096801012313
2015-05-04,1.0037670075100724,1.008538364837792,1.0117476135887875,1.0400567888178363,1.0400579475490186
2015-05-05,1.0019063484568962,1.0072629284988361,1.0102178070510486,1.041021962293565,1.0410232037686764
2015-05-06,0.9922796409546034,0.9971148823697858,0.9993642736893031,1.024854202155708,1.0248552552722179
2015-05-07,0.9824544132949751,0.9878359517921275,0.9895076996053236,1.0161668997529079,1.01616800247808
2015-05-08,0.990576099727327,0.995514344266149,0.9976560116075973,1.0236476792182276,1.0236487045337195
2015-05-11,1.000673391893981,1.0061495327467163,1.0086410939762172,1.0383676625696714,1.0383687898278706
2015-05-12,0.9894318405299142,0.9958253163198131,0.9985102983833302,1.033058634343279,1.0330599167792558
2015-05-13,0.9874319519032867,0.993525855297584,0.9957404833625264,1.027508545792262,1.0275097311808516
2015-05-14,0.9864147422615355,0.993011012783191,0.9959170152767558,1.031852058658929,1.031853368845256
2015-05-15,0.9962353482950029,1.003366481535538,1.0072239162000511,1.0485025074486656,1.0485039576537871
2015-05-18,1.0018758760611277,1.007982401014026,1.0110558481390903,1.0451243882450676,1.0451255873382026
2015-05-19,0.9992134265180568,1.006304308748285,1.0099195735433597,1.0501917183198615,1.0501931638107764
2015-05-20,0.9953540363441535,1.0028905160521668,1.0062234408541686,1.047537202646831,1.047538731768287
2015-05-21,0.9959190642204526,1.003341270705328,1.0068481513736556,1.0482611461228257,1.0482626784706761
2015-05-22,1.002896379601901,1.0098324609286304,1.0134379049887954,1.0528461641875166,1.0528476296508202
2015-05-26,1.002024103558204,1.008815741730268,1.012621658310198,1.0521222058846378,1.052123699969495
2015-05-27,0.9990573258915503,1.0042593887701192,1.0073387657231307,1.0369198155283594,1.0369210040209533
2015-05-28,1.0095339541705548,1.0151663364945294,1.0196480550276033,1.056465964866652,1.056467348327207
2015-05-29,1.0076303013008414,1.013304948549129,1.017679250740215,1.0542941795418022,1.054295543476022
2015-06-01,1.0037560089435735,1.0089327456602764,1.0130396008041431,1.0465722465233274,1.0465735454160372
2015-06-02,1.0011266230147169,1.0072345134934062,1.0115642264571179,1.0494678480858817,1.0494693108707842
2015-06-03,0.9955061109877498,1.0023452394477903,1.0065845680078322,1.0472958715368021,1.0472975089441787
2015-06-04,0.991927189626761,0.9998321083230076,1.0039826003494758,1.049467556108491,1.0494693383125344
2015-06-05,0.9901456946410039,0.9968863655016311,1.0008787505495431,1.0398153430317236,1.039816841693344
2015-06-08,0.984547674944697,0.9918243678294695,0.995599370148433,1.0364368726147117,1.036438478238035
2015-06-09,0.9783378763765492,0.9853097172906422,0.9884207621847718,1.0248539405158434,1.024855479667781
2015-06-10,0.9749669137111349,0.982298042846911,0.9850930068508363,1.0224408033698287,1.0224423671737923
2015-06-11,0.9814016975826931,0.9896255182839275,0.9928740809620311,1.038367225116303,1.038369027733051
2015-06-12,0.989284397738965,0.9968734887615676,0.9997774175818249,1.0388500501574465,1.0388516679311246
2015-06-15,0.9837595947779287,0.9910503200698845,0.9937754720370447,1.029680266222613,1.0296817947497185
2015-06-16,0.9807938864604439,0.987883104643865,0.990355142271072,1.023406243895277,1.0234076747358531
2015-06-17,0.9873133425086545,0.9943578703937866,0.9969890515604173,1.0301630163793525,1.0301644468880107
2015-06-18,0.985499471410558,0.9928721376621583,0.9953321578000014,1.0306455925463258,1.0306470857660557
