date,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sharpe,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino,2021_12_03__00_50_44_daily_lr_1e-06_epoch_100000_metric_sortino
2015-04-02,1.000708560022915,1.0012582391735458,1.000426279716217,1.0003472324814657,0.9995456988486172,1.0014779732061567
2015-04-06,0.9991952160373447,0.9994445257007543,0.9992665872324562,0.9993045965937196,0.9988754474817552,0.9994738956626615
2015-04-07,1.0045609310190065,1.003868262660767,1.0049129544648485,1.0049814468742224,1.0061396175111055,1.0037695679584546
2015-04-08,1.0046017532225207,1.004481206798147,1.0047634422170013,1.0047620613901562,1.0051232224615707,1.0045045431281183
2015-04-09,1.007179760831025,1.0069085999249716,1.007396015242204,1.0074102464809997,1.0079748899625256,1.0069010587470009
2015-04-10,1.0069896668367606,1.0057478718810742,1.0074380594835968,1.0075439436297402,1.0091417281827244,1.0056314257286814
2015-04-13,1.0107719830302606,1.0094801179434756,1.0113137868908375,1.0114668920857686,1.01305045655158,1.0093263780501291
2015-04-14,1.0084360468290356,1.00726124280879,1.0087965744706946,1.0088749123230056,1.0103379282738323,1.0071663499018575
2015-04-15,1.0093015522496438,1.0088721245460321,1.0094362811713358,1.0094723082586983,1.0095840039449908,1.008690429881939
2015-04-16,1.0145105007398814,1.0134033048980067,1.014893303442181,1.0150112648741008,1.0163410422356491,1.0133338451160707
2015-04-17,1.0115489185659632,1.0105064306844784,1.0120101938819361,1.012211975724851,1.0132475871513071,1.0103397347716845
2015-04-20,1.004690999982516,1.004872103737961,1.0042901688990498,1.0040344132270889,1.0029413320437486,1.0045913518479512
2015-04-21,1.0130324276452187,1.0117324264651564,1.0134205230242648,1.0134278879377754,1.0152608725968442,1.0115722884549339
2015-04-22,1.011338561820437,1.0098158876742063,1.0118502616852747,1.0118980984225137,1.0141290178828097,1.0096720042391774
2015-04-23,1.0138691958648614,1.010819079807122,1.0150709433599643,1.0153724148126846,1.020207967103866,1.0107773509023297
2015-04-24,1.017533194274192,1.0144406334575806,1.0187321985270437,1.0189945656088415,1.0240101851603514,1.014430081046105
2015-04-27,1.0237786446074801,1.020332104132785,1.0250886315877275,1.025212360111928,1.0312490618435899,1.0204706271574049
2015-04-28,1.0238379360233127,1.0199579890488968,1.0252097064934766,1.0251722396580734,1.0322903640638195,1.0202619949409137
2015-04-29,1.0230277982551137,1.0180970649040686,1.0248039073607673,1.0250383887249128,1.033383253420707,1.0184516986690209
2015-04-30,1.0165231010921332,1.0111889645240777,1.0184629257074023,1.0188256118912284,1.0275639512392256,1.0115162428351647
2015-05-01,1.0075292422842348,1.0031724987077457,1.0088685223931826,1.009122191831546,1.0162010220672077,1.0033471812028856
2015-05-04,1.01292851942616,1.006810717198482,1.014892062958501,1.015449423508061,1.0248182375146335,1.0069737511236367
2015-05-05,1.0120272205935101,1.0053927188478535,1.0142106410034242,1.0149493648724537,1.024867586493838,1.005433756365692
2015-05-06,1.0010201343063803,0.9953542058149838,1.0027955947711937,1.003421350035522,1.011682884335395,0.9953117699177664
2015-05-07,0.9919093410720287,0.9858990265199373,0.9937624511025739,0.9946346930030985,1.0029381963054986,0.9857175786883847
2015-05-08,0.999505105600063,0.9937564639649422,1.0013489994062474,1.0020506480522002,1.0103661078583472,0.9936690226411989
2015-05-11,1.0108350995983277,1.0043152817662884,1.0128875245601958,1.0137165033475148,1.023216805006591,1.0041646495558858
2015-05-12,1.0015064514453318,0.9938227468613997,1.003736882882069,1.0047572598431014,1.015762234115594,0.9934932109805306
2015-05-13,0.9985997181759912,0.9915294580480013,1.0007352605925122,1.00175911040361,1.0117327292175857,0.9912477923329103
2015-05-14,0.9988555459448663,0.990935335440047,1.0011681012187361,1.0021954623595768,1.0137438943177637,0.9905738905102311
2015-05-15,1.0103001190764558,1.001247130150891,1.0127646386922946,1.0137745108162095,1.0273539528800593,1.0008233895696947
2015-05-18,1.0133898093944618,1.0059664021861159,1.0156829867157249,1.016673556585556,1.0276686891120717,1.0057956787259321
2015-05-19,1.0130645674203975,1.0041935725798867,1.0155517348289513,1.0166296412233022,1.0297831557563855,1.0037869479347485
2015-05-20,1.009823099028725,1.0006538155539775,1.0123623182956065,1.013522496460901,1.0269074869011738,1.0001685209598632
2015-05-21,1.0102841188751672,1.0011421832633909,1.0128343855205642,1.0139529122475786,1.0274458461736373,1.0006847300699824
2015-05-22,1.0162778835435318,1.007678697949821,1.018817609703235,1.0198241921886053,1.0327343958763306,1.0073327919701034
2015-05-26,1.0152649034513683,1.0067070400439175,1.0178206858510623,1.0187700772956407,1.0318004832434406,1.0064210044533077
2015-05-27,1.0086473986931,1.0022598614223304,1.010993056307559,1.0116833370740912,1.0213268915044291,1.0021567628761072
2015-05-28,1.0210175325638415,1.0133590457603794,1.0236633472377883,1.0242625971124606,1.0367545902951194,1.0132187919889548
2015-05-29,1.0191364320283471,1.0114909424840781,1.021772033583764,1.0223933405594847,1.0347717944501116,1.0113318461427123
2015-06-01,1.014052615115432,1.0070963846060998,1.0166458935554834,1.017221525041268,1.0285231754213955,1.0070596289663984
2015-06-02,1.013276789716734,1.0053288469513983,1.0159510679042636,1.0166183200047962,1.029416112648965,1.0050800348557793
