date,2021_11_18__14_55_07_daily_lr_0.001_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_0.0001_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_1e-05_epoch_10000_metric_sharpe,2021_11_18__14_55_07_daily_lr_0.001_epoch_10000_metric_sortino,2021_11_18__14_55_07_daily_lr_0.0001_epoch_10000_metric_sortino,2021_11_18__14_55_07_daily_lr_1e-05_epoch_10000_metric_sortino
2017-05-05,1.3216698841742645,1.2593061870174656,1.2298976389051248,1.3216553008205019,1.2255733864143599,1.150125782578145
2017-05-08,1.326496139000559,1.2633928326476525,1.2345302716398585,1.3264815687394096,1.230056060973178,1.153885503127243
2017-05-09,1.332287644792103,1.265884338862416,1.2373931892709897,1.332273002954758,1.2346400036445364,1.1538851327910695
2017-05-10,1.3339768339813167,1.2674608273019392,1.2377616022044429,1.3339621158049444,1.2358682050736018,1.1539335954090946
2017-05-11,1.339044401548923,1.2722290148257693,1.241335787664443,1.3390296084469413,1.2402768844943552,1.1558801129827914
2017-05-12,1.3373552123597585,1.2706116029571202,1.239386047956577,1.3373403660776682,1.2386267868687562,1.1544507079699693
2017-05-15,1.3407335907381754,1.2738100945816395,1.240261841565844,1.340718738976352,1.2412058327708382,1.1569880233271375
2017-05-16,1.34821428571892,1.2809172261545323,1.247004019982884,1.34819928821574,1.2476677124419095,1.1608721639674575
2017-05-17,1.35448841699309,1.2868095174810845,1.2502768260229453,1.3544733600030796,1.252637380491549,1.1634232389283605
2017-05-18,1.3175675675721314,1.2519104187321022,1.2239395064520842,1.3175530210277255,1.2204161452058246,1.1489909872012918
2017-05-19,1.3252895752941898,1.259205073100865,1.2298183719945532,1.3252750005026497,1.2272397765725915,1.1534525984294188
2017-05-22,1.3330115830162506,1.2665504954614497,1.236929229733677,1.3329969026857504,1.234444680713192,1.1594212325419917
2017-05-23,1.343629343634072,1.2765849675196337,1.24443711196502,1.3436144897021827,1.2439031788148562,1.1640381560451685
2017-05-24,1.3460424710472247,1.2787069897322771,1.245922709676753,1.3460275528225767,1.2461223707926765,1.1636912627229614
2017-05-25,1.3515926640974554,1.2851095547093967,1.250394616388893,1.3515776990583694,1.251013633385877,1.1681297898986314
2017-05-26,1.3612451737500133,1.294273876318839,1.2574940840937634,1.361229775712693,1.259477098529381,1.1732661173244086
2017-05-30,1.3605212355260885,1.2935884163585036,1.2572179514517923,1.3605058136901977,1.2596730625517363,1.1734893559413342
