date,model_1
2015-04-02,0.9985521888809411
2015-04-06,0.9983107659651634
2015-04-07,1.0079631100362223
2015-04-08,1.0057913758784645
2015-04-09,1.0089284183208014
2015-04-10,1.011582748213888
2015-04-13,1.0154437443728206
2015-04-14,1.0125480254980055
2015-04-15,1.0094110233409161
2015-04-16,1.0183394759684634
2015-04-17,1.0147197879444254
2015-04-20,1.0007238974582946
2015-04-21,1.0178568727502704
2015-04-22,1.0173742031409683
2015-04-23,1.0277503632032141
2015-04-24,1.0318526363548195
2015-04-27,1.0407812158356697
2015-04-28,1.0436768822009137
2015-04-29,1.0470550601950974
2015-04-30,1.041987401957674
2015-05-01,1.0275088001564607
2015-05-04,1.0400567888178363
2015-05-05,1.041021962293565
2015-05-06,1.024854202155708
2015-05-07,1.0161668997529079
2015-05-08,1.0236476792182276
2015-05-11,1.0383676625696714
2015-05-12,1.033058634343279
2015-05-13,1.027508545792262
2015-05-14,1.031852058658929
2015-05-15,1.0485025074486656
2015-05-18,1.0451243882450676
2015-05-19,1.0501917183198615
2015-05-20,1.047537202646831
2015-05-21,1.0482611461228257
2015-05-22,1.0528461641875166
2015-05-26,1.0521222058846378
2015-05-27,1.0369198155283594
2015-05-28,1.056465964866652
2015-05-29,1.0542941795418022
2015-06-01,1.0465722465233274
2015-06-02,1.0494678480858817
2015-06-03,1.0472958715368021
2015-06-04,1.049467556108491
2015-06-05,1.0398153430317236
2015-06-08,1.0364368726147117
2015-06-09,1.0248539405158434
2015-06-10,1.0224408033698287
2015-06-11,1.038367225116303
2015-06-12,1.0388500501574465
2015-06-15,1.029680266222613
2015-06-16,1.023406243895277
2015-06-17,1.0301630163793525
2015-06-18,1.0306455925463258
2015-06-19,1.0398153848453102
2015-06-22,1.0265434553207164
2015-06-23,1.0349890949948706
2015-06-24,1.0357129304119148
2015-06-25,1.0308868707676706
2015-06-26,1.028473791342898
2015-06-29,1.0197864916180992
2015-06-30,0.9980688736991951
2015-07-01,0.9990340194088368
2015-07-02,1.0057905530331046
2015-07-06,1.00723849919051
2015-07-07,1.0031363971469958
2015-07-08,1.0045843130519974
2015-07-09,0.9881753160567505
2015-07-10,0.9843141665473022
2015-07-13,0.9999991970705211
2015-07-14,1.0152016953772098
2015-07-15,1.0190626594375713
2015-07-16,1.0193040160959597
2015-07-17,1.0323348228532223
2015-07-20,1.0482613267006582
2015-07-21,1.0538113818591839
2015-07-22,1.0468134509753324
2015-07-23,1.0299217913902121
2015-07-24,1.0277500699477562
2015-07-27,1.0222000024774927
2015-07-28,1.013030232130077
2015-07-29,1.0221999725871302
2015-07-30,1.0289566323689023
2015-07-31,1.0308871846277297
2015-08-03,1.027508948981295
2015-08-04,1.021958953711917
2015-08-05,1.0159260893683448
2015-08-06,1.0258197260065949
2015-08-07,1.0156848170447004
2015-08-10,1.0164089118456314
2015-08-11,1.0323353143621685
2015-08-12,1.0168916282411076
2015-08-13,1.0214764538303205
2015-08-14,1.0185806953399938
2015-08-17,1.0236482568570964
2015-08-18,1.029439777462636
2015-08-19,1.0241309000196703
2015-08-20,1.017374299986844
2015-08-21,0.9925194114343343
2015-08-24,0.9546336798360128
2015-08-25,0.9169891784988312
2015-08-26,0.9097497023598999
2015-08-27,0.9555985741986772
2015-08-28,0.9777991276711896
2015-08-31,0.9797296029024524
2015-09-01,0.9708010795163156
2015-09-02,0.9396721476116009
2015-09-03,0.9623552213365588
2015-09-04,0.9630791541006616
2015-09-08,0.948359292495659
2015-09-09,0.9749032057885711
2015-09-10,0.9621138515550275
2015-09-11,0.9717662450183893
2015-09-14,0.9763512493848059
2015-09-15,0.9739382162153919
2015-09-16,0.9864861227440841
2015-09-17,0.9905883576258288
2015-09-18,0.9838318977523158
2015-09-21,0.9666990580425359
2015-09-22,0.9763512647040821
2015-09-23,0.9599422287530022
2015-09-24,0.9623553198295314
2015-09-25,0.9623553581498168
2015-09-28,0.9606660882812661
2015-09-29,0.9387070934613936
2015-09-30,0.9346049230248178
2015-10-01,0.9531856947499062
2015-10-02,0.9536683990291323
2015-10-05,0.9671818050809202
2015-10-06,0.9862450420138175
2015-10-07,0.9874516804645904
2015-10-08,0.9920365281726341
2015-10-09,0.9966213665750816
2015-10-12,1.000965013218121
2015-10-13,1.002171686669067
2015-10-14,0.999999911466385
2015-10-15,0.9980695443117992
2015-10-16,1.0108589196236064
2015-10-19,1.0127893860234416
2015-10-20,1.0166503165394105
2015-10-21,1.0139958869822423
2015-10-22,1.0062741555381294
2015-10-23,1.0289570478389518
2015-10-26,1.0576720858774502
