date,2021_12_04__15_09_51_lr_0.0001_epoch_100000_metric_return_window_2,2021_12_04__15_09_51_lr_0.0001_epoch_100000_metric_return_window_8,2021_12_04__15_09_51_lr_0.0001_epoch_100000_metric_sortino_window_29,2021_12_04__15_09_51_lr_0.0001_epoch_100000_metric_sortino_window_61,2021_12_04__15_09_51_lr_0.0001_epoch_100000_metric_sortino_window_180
2015-04-02,1.000180171934319,0.9993134895627125,,0.9980344275999786,1.011018440584724
2015-04-06,0.9999403022162976,0.999071604616467,,1.0016006176236398,1.0003060677941495
2015-04-07,0.9943612166801445,1.0087314726365122,,1.0083690336410804,0.99472033055335
2015-04-08,0.9922186509586419,1.0089767559974392,,1.0057004601343698,1.0030606779402989
2015-04-09,0.9936415092009873,1.0121237589823553,,1.0088562811257586,1.0033667457343152
2015-04-10,0.9920943346109573,1.0147866541155126,,1.0133433222484851,1.006006553006039
2015-04-13,0.9952006533840674,1.0186598856197704,,1.0188732534710352,1.0074833454426546
2015-04-14,0.9961167197900156,1.015754961991579,,1.0142649019529768,1.0088824119615536
2015-04-15,1.002170093752603,1.0126079614409123,,1.0162052003920512,1.0160331963914813
2015-04-16,1.0067750230685577,1.021532654779658,,1.0207649456593417,1.0151782112965988
2015-04-17,1.0018006573559928,1.017873817679463,,1.01568499845132,1.0115697579389096
2015-04-20,1.0127767878371763,1.027022258493263,,1.0040010702462934,1.023167472153506
2015-04-21,1.0299338734761159,1.0186962593008444,,1.0131876425844804,1.0141383792079615
2015-04-22,1.027647356086319,1.0171709967279798,,1.0119806106223805,1.0095459957270134
2015-04-23,1.0120949280164722,1.019436776548434,,1.0169536075386565,1.0198425986246091
2015-04-24,1.0161230972909365,1.023825147398104,,1.0195125324903764,1.023913348607379
2015-04-27,1.0246913969544547,1.0326842147847877,,1.0218778442153824,1.0302993365927684
2015-04-28,1.0275403705390946,1.0330538261573277,,1.017629574447033,1.0331659241279207
2015-04-29,1.0145622837117123,1.0188335805700899,,1.0208644347492537,1.018917567848788
2015-04-30,1.0086191321835256,1.0139026209960158,,1.0166639610363566,1.0064302443681996
2015-05-01,0.9946206978467961,0.9999296604149307,,1.0064765061553347,1.0081912771667443
2015-05-04,0.9828318576105459,1.0121410978003915,,1.0173881321987734,1.0205036177991236
2015-05-05,0.9837440992191598,1.0130804042181814,,1.0202849920971813,1.0214507209246912
2015-05-06,0.9809407783141774,0.9973754681274634,,1.0086008653855656,1.0200370058505466
2015-05-07,0.9726257905358842,0.9889211442903663,,1.0044486136790438,1.0025734666993469
2015-05-08,0.9824426407036289,0.9962012462705081,,1.0084559947043794,1.0099540835285274
2015-05-11,0.9851095498528455,0.9989226995809865,,1.021733307687696,1.0244772327730443
2015-05-12,0.9800716873679287,0.9938154964658337,,1.0168327510618655,0.9995572902894618
2015-05-13,0.9749181578838677,0.9963929602971504,,1.0138151803394142,1.002149633299499
2015-05-14,0.968324283213081,1.0006049964212393,,1.0140083070258712,0.9941217323651905
2015-05-15,0.9778219062813379,1.0167513397778205,,1.016738320773082,1.0101634534908217
2015-05-18,0.9917352487122771,1.0134754998887592,,1.0178403007054633,1.0304175697143372
2015-05-19,0.9965433081945106,0.9985499588348306,,1.0210025282663164,1.0179533411554607
2015-05-20,0.9877269622048245,0.9897051471659241,,1.0206671515318655,1.0089275733514669
2015-05-21,0.9884105780268999,0.9903891059682738,,1.0209990837570637,1.010630548409871
2015-05-22,1.0016983415918947,1.0039250773440689,,1.0239726457185416,1.0150508938103748
2015-05-26,1.00100952543112,1.0032347781851643,,1.0215266280073114,1.014352944536611
2015-05-27,0.9954805345400739,0.9887405542791184,,1.0105435053174037,0.9996960097875729
2015-05-28,0.9982103001674423,1.007378694261565,,1.0201357571478835,1.0185406401791934
2015-05-29,0.9961634653794793,1.0053077924498721,,1.0189847125775189,1.0160511323410673
2015-06-01,0.9888672156172532,0.9979735202562974,,1.0126190855609116,1.01829168939571
2015-06-02,0.9881267593555253,1.0007347490092102,,1.0154208907455178,1.021109190035034
2015-06-03,0.9838227350237736,0.9986637872436811,,1.0139808774854837,1.0068627038506939
2015-06-04,0.9858628365506559,1.0005021658907765,,1.0166674283748525,0.9906773690265765
2015-06-05,0.9771041342171809,0.9913000306516705,,1.008076267294403,1.0035750577145508
2015-06-08,0.9652881453377614,0.9880792715603773,,1.00634013019355,0.9913517579777098
2015-06-09,0.9550314235363108,0.9770367431876753,,1.0001507598247978,0.9802726230806365
2015-06-10,0.9510631083781138,0.9747362092974288,,1.0000068394799442,0.9779644704974267
2015-06-11,0.965877886963898,0.9899196833821045,,1.0120002535801522,0.9931982809890081
2015-06-12,0.9859270633792296,0.9904183877277879,,1.0152619817080937,0.9945231338843277
2015-06-15,0.9782584037088484,0.9816759748578665,,1.0074902159865113,0.9857445324702502
2015-06-16,0.9725999625708386,0.9756943188938679,,1.0031726072743343,0.9873324210836898
2015-06-17,0.9790212867361001,0.9830856551915078,,1.0086415911987294,0.9938510034440633
2015-06-18,0.9746021246549371,0.9835462247349134,,1.010221660293195,0.9861719665483961
2015-06-19,0.9733656265772197,0.9794781237305719,,1.0207272624776698,0.9813308346727911
2015-06-22,0.9609416141088534,0.9670077894632302,,1.0112769724774746,0.9688051452072529
2015-06-23,0.9684298323161804,0.9749638949242583,,1.0195973586023397,0.9750234289343576
2015-06-24,0.9638871213205088,0.9754346894173338,,1.0203109142997857,0.9697236497055977
2015-06-25,0.9594023301027758,0.9708903582841553,,1.0129010426669967,0.9780554126733088
