epoch,2021_11_08__20_00_10_daily_actor_lr_1e-06_critic_lr_9.999999999999999e-06_epoch_10000_gamma_1.0,2021_11_08__20_00_10_daily_actor_lr_1e-05_critic_lr_0.0001_epoch_10000_gamma_1.0,2021_11_08__20_00_10_daily_actor_lr_0.0001_critic_lr_0.001_epoch_10000_gamma_1.0,2021_11_08__20_00_10_daily_actor_lr_0.001_critic_lr_0.01_epoch_10000_gamma_1.0
0,1.0568874494883205,0.9575506743160438,1.0593603956782776,1.0214035634383303
1,1.0342076819336756,0.9775726562986076,1.0632895623215861,0.9752005460061846
2,1.089384505938708,0.9667327835187024,1.0168571509898214,1.1318312174947622
3,1.0991173988753142,0.8969337974453542,0.9635140827592465,1.117224678571474
4,0.9856284099732588,1.0458329212744792,1.037400057511603,1.2081018287905851
5,1.0345703870051728,0.9517124867162567,0.993937780504191,1.0583017597656175
6,1.0562899062952773,1.0822996919056418,1.0057642994753946,1.073218655848134
7,1.0229265154615488,1.0652779989623369,1.0353945390490515,1.0680955301799326
8,0.9395373063448667,1.045378002755882,1.0068379190729904,1.0640741736874184
9,1.0758737540446457,1.0718506837074206,0.9285185157571386,1.0613129344198384
10,1.0521630030528148,1.0155408608264072,0.9886378291779245,1.0374364860250878
11,1.002811042264291,1.072682403342224,0.9917982198013855,0.9765618820431304
12,1.138134131796636,0.9770790790948835,0.9344220438664054,1.0415468716582221
13,0.908068518280174,1.024165011778518,1.0895852141683504,0.6324668701118764
14,1.1791708673003205,1.0789443153385256,1.1556875300582372,1.0586233376740768
15,1.1149503402313565,1.0360803968167462,1.038448539558635,0.9755329662418846
16,0.9699065287673013,1.1328830568133843,1.304618764844465,1.1124055665416175
17,1.0020594822696745,1.0591136623531134,1.047797495098704,1.0786946844026035
18,1.0634739776449254,1.0329074351380927,1.0903206727851187,0.9918450701640144
19,1.1010633011489614,0.9568733294820375,1.1264150550478198,0.9471202616889723
20,1.0861157809052295,1.0731865999535883,1.2243936361704275,0.9641709961333718
21,0.9294279586418097,1.1736201111357303,0.9779784505795805,1.1548170393952186
22,1.0499004870669142,0.9685745462882009,1.081027623742427,0.958769982721159
23,1.0921792434549071,1.0322392822656135,1.0928678493510806,1.1118388734351474
24,1.0215132415559145,1.022349966932418,1.2550104679029175,1.046620781119793
25,1.019808742701709,0.9516763632672922,0.9563629570216421,1.019584209289447
26,1.0037529164736074,0.9790140614430287,0.859086094718552,1.0296156740073683
27,1.070669691663827,0.976840727270369,1.061666054499071,0.9976258886230683
28,0.9469935266510286,1.0016931988597144,0.9104202426475267,1.017150961553048
29,1.0035714335754007,0.999223136276714,1.019026416507206,1.176402663040968
30,1.0042304477645332,1.0493399215946815,0.9496829698918641,1.0644901999247338
31,0.953115664079069,1.0347442897763612,1.000407154649101,1.0499089548146354
32,1.0743862176382724,0.9524450613461807,1.1054780885222233,1.0892924113721616
33,1.0541117319312256,0.9507754297202594,1.1086443168539695,0.9978357602858916
34,1.051149973287261,0.9843625884116538,0.9199460571434013,1.0465595301524828
35,0.9258292533829063,0.9337634980386119,1.0537915009587286,1.0115415732433282
36,1.0511864107988018,0.9688786696628844,1.1494095618224252,1.1361895204355614
37,1.0852598267619176,1.0148888114045989,1.0704096534799472,1.1151835179482728
38,1.0882376413271124,1.0821300597948114,1.0276754278520779,1.4168891289256604
39,1.1456180887385692,0.9844681717187274,1.0029751513825287,1.0081619128697905
40,1.042415328103645,0.9861804664747424,0.9853342868694376,0.937714312565547
41,1.0112627820563374,1.0541142097905014,1.113551733278958,1.0853586641889545
42,0.750687464143614,0.8842498374580553,1.1086013654580609,0.9893219229076532
43,1.0501236360083908,0.9571868116894479,1.050494016599159,0.9700755338834356
44,0.8745896185823324,0.9515348253145427,0.9457432903901459,1.0015954042820336
45,0.7334858853594274,1.0046431988985902,1.1139719112244588,0.9893726571151257
46,1.1998589677397387,0.9494750911997618,0.9608241232750592,1.0359981730254362
47,1.0085415199133854,0.967942383017004,1.0815279104716098,1.0749420066098774
48,1.0297480304881115,1.059890454192952,1.167566966869631,1.0345539880459094
49,0.9827665519914439,1.0244846607969673,0.866153797032572,1.1676967117363704
50,1.009984115232197,1.173462394734149,0.9438727970483891,0.913646372192811
51,1.0488489953960236,0.9852140168987925,1.0787186105242659,0.9624051754185967
52,1.0319611172504082,0.9849867012541657,1.0167878824765553,0.8155641845484084
53,1.0508501450373566,0.9558960043245814,1.075999498550624,1.0380112410574176
54,0.9372472545645444,0.9827759756840917,1.1308493236784134,1.0600875292412133
55,1.0698146157903339,0.9639361558333563,0.9136225541247059,0.7268415356932229
