epoch,2021_11_18__09_17_36_daily_lr_1e-06_epoch_10000_metric_sharpe,2021_11_18__09_17_37_daily_lr_1e-05_epoch_10000_metric_sharpe,2021_11_18__09_17_36_daily_lr_0.0001_epoch_10000_metric_sharpe,2021_11_18__09_17_36_daily_lr_1e-06_epoch_10000_metric_sortino,2021_11_18__09_17_36_daily_lr_1e-05_epoch_10000_metric_sortino,2021_11_18__09_17_36_daily_lr_0.0001_epoch_10000_metric_sortino
0,0.16847378015518188,0.12273215502500534,-0.07181498408317566,0.2109052687883377,0.12948308885097504,0.09464405477046967
1,0.05259302258491516,0.14037665724754333,0.10633788257837296,0.21941256523132324,0.13017027080059052,-0.048028141260147095
2,0.021357795223593712,-0.08384186029434204,0.06929824501276016,0.01834908314049244,0.19193705916404724,0.14222858846187592
3,0.00407389784231782,-0.013673408888280392,0.06237492710351944,0.01398905273526907,-0.0046942890621721745,0.12090612947940826
4,-0.08463342487812042,0.05560385808348656,0.06889522075653076,0.1290450096130371,0.0920596718788147,0.07861791551113129
5,0.029733633622527122,0.05344643071293831,0.04006417840719223,0.19603975117206573,0.0638100728392601,0.30721864104270935
6,0.04291323572397232,0.1677391529083252,0.13593097031116486,0.08907932043075562,0.2592715322971344,0.04244471713900566
7,0.12122555822134018,0.040756143629550934,0.008672967553138733,0.09896759688854218,0.2886393070220947,0.23337280750274658
8,0.05458438768982887,-0.006764919497072697,0.04905525594949722,0.03702373802661896,0.04969886317849159,0.13361914455890656
9,0.05003353953361511,0.029563702642917633,0.002038415288552642,0.061070170253515244,0.2408849149942398,0.1352509707212448
10,0.12103024870157242,0.02958288975059986,0.08669169247150421,0.06234158203005791,0.14224015176296234,0.2057725340127945
11,0.1489396095275879,0.04781249538064003,-0.05335845798254013,0.16010737419128418,0.08568693697452545,0.22115765511989594
12,0.0727134495973587,-0.08329902589321136,0.05222875997424126,0.09228349477052689,0.12006501108407974,-0.013488621450960636
13,0.13448648154735565,0.16643241047859192,0.13038261234760284,0.06709437817335129,0.1167304739356041,0.0877537727355957
14,0.04999501258134842,0.08619760721921921,0.06358687579631805,0.12510696053504944,0.003449786454439163,0.24681544303894043
15,0.013933970592916012,0.12371105700731277,0.08287209272384644,-0.03025980293750763,0.20521840453147888,0.17166683077812195
16,0.05823776125907898,-0.004048644099384546,0.057004574686288834,0.09377717226743698,-0.013811763375997543,0.2703876197338104
17,-0.037628356367349625,-0.06478199362754822,0.17774507403373718,0.1028444916009903,-0.014206050895154476,0.12161430716514587
18,0.09976998716592789,0.11514804512262344,-0.053352829068899155,0.09603766351938248,0.23841242492198944,0.09274929016828537
19,0.167869433760643,0.029591625556349754,-0.02250746265053749,-1.029469603963662e-05,0.21913151443004608,0.06630220264196396
20,0.1813010424375534,0.14239828288555145,-0.06393168121576309,0.09752145409584045,0.22700586915016174,0.2570672035217285
21,0.07194384187459946,-0.030684106051921844,-0.0701809898018837,0.07376877218484879,0.13812656700611115,0.15984661877155304
22,-0.06537944823503494,0.03682718798518181,0.07830193638801575,-0.060400139540433884,0.08336874097585678,0.21244587004184723
23,0.0776144415140152,0.12452232092618942,-0.004153387621045113,0.004493915010243654,0.05832306295633316,0.21907366812229156
24,0.04707424342632294,0.03157258406281471,0.09375125169754028,0.05890236794948578,-0.12545011937618256,0.06083890050649643
25,0.03068508766591549,0.16422952711582184,0.11694816499948502,0.07949306815862656,0.011494562029838562,0.1337747573852539
26,0.16692420840263367,-0.06767506897449493,0.07305832952260971,0.14695978164672852,0.23593534529209137,0.09396407008171082
27,0.011880163103342056,0.04716898873448372,0.03813150152564049,-0.02515178732573986,0.09367922693490982,0.20282331109046936
28,0.06148805469274521,0.17140862345695496,0.12915271520614624,-0.11965323984622955,0.08935137838125229,-0.055511754006147385
29,0.05085332691669464,0.045876890420913696,0.028002062812447548,-0.08886966854333878,0.06646399945020676,0.2822761535644531
30,0.007476118393242359,0.1434255689382553,0.059507742524147034,0.22760073840618134,-0.021670754998922348,0.23157064616680145
31,-0.0427812859416008,0.02135222777724266,-0.07000879943370819,-0.10650710761547089,-0.07251739501953125,0.20172753930091858
32,0.05366663634777069,0.046521928161382675,0.03987129032611847,0.07384654134511948,-0.0341922752559185,-0.03432990238070488
33,-0.01363924890756607,0.01938633620738983,-0.03362882509827614,0.05282391980290413,-0.16483855247497559,0.14550170302391052
34,0.13967913389205933,0.04198373109102249,0.07276971638202667,-0.006540659815073013,-0.036728691309690475,0.08890897035598755
35,0.03468085825443268,0.034265439957380295,0.1631164401769638,0.26167032122612,0.10263160616159439,0.1933472603559494
36,0.001988941105082631,-0.04444418475031853,-0.01846369355916977,-0.04354991018772125,-0.12213810533285141,0.11576344817876816
37,0.06973697245121002,0.06360097229480743,0.07035037875175476,0.10345113277435303,0.04718008637428284,0.12925279140472412
38,0.06785227358341217,0.024639807641506195,0.11109517514705658,0.05813630297780037,0.07326054573059082,0.1344146579504013
39,-0.07115563750267029,0.08618736267089844,-0.029155422002077103,0.25771668553352356,0.2656090259552002,0.15880359709262848
40,0.02012617327272892,0.18665483593940735,0.1577705442905426,-0.06617383658885956,0.0967763364315033,0.08591939508914948
41,0.03294399008154869,0.06176692247390747,0.06366970390081406,0.004094348754733801,-0.04467922821640968,-0.03045286051928997
42,0.04101751372218132,0.13217225670814514,-0.032790590077638626,0.1490669548511505,0.22678472101688385,0.09167207777500153
43,0.060846246778964996,0.13355040550231934,0.048537079244852066,0.12768177688121796,-0.09532022476196289,0.3125326335430145
44,-0.06835124641656876,0.06337295472621918,0.05137519910931587,0.06370697915554047,0.07366175949573517,0.045275356620550156
