epoch,2021_11_18__10_23_09_daily_lr_1e-05_epoch_10000_metric_sharpe,2021_11_18__10_23_09_daily_lr_0.001_epoch_10000_metric_sharpe,2021_11_18__10_23_09_daily_lr_0.0001_epoch_10000_metric_sharpe,2021_11_18__10_23_09_daily_lr_1e-05_epoch_10000_metric_sortino,2021_11_18__10_23_09_daily_lr_0.001_epoch_10000_metric_sortino,2021_11_18__10_23_09_daily_lr_0.0001_epoch_10000_metric_sortino
0,0.08016980439424515,0.04883209243416786,0.10695983469486237,0.048840031027793884,0.06528792530298233,0.025026286020874977
1,-0.06056544557213783,0.1440078169107437,-0.06490503996610641,0.0741199404001236,0.2635209560394287,0.10702352225780487
2,0.026595765724778175,0.014619347639381886,0.08291066437959671,0.09315789490938187,0.15158098936080933,0.18061000108718872
3,0.1413884460926056,0.056957170367240906,0.13694632053375244,0.1280091553926468,0.14070461690425873,0.027847394347190857
4,0.030120253562927246,-0.018397534266114235,0.05097511038184166,-0.022407328709959984,-0.0025485956575721502,-0.13655151426792145
5,0.05139147490262985,0.06557708978652954,0.06932217627763748,-0.12560194730758667,0.3215523362159729,0.13748912513256073
6,-0.02603810280561447,0.05737373232841492,0.12966924905776978,0.24910034239292145,0.2598969042301178,0.20748941600322723
7,-0.06046149879693985,0.05294008553028107,0.040736328810453415,-0.03209017589688301,0.09279948472976685,0.2395460158586502
8,0.07114480435848236,-0.0360320508480072,-0.07955645024776459,0.2436962127685547,0.07943122833967209,0.021237347275018692
9,0.0802278220653534,0.02689511887729168,0.126836895942688,0.09505907446146011,0.18149197101593018,0.053548749536275864
10,0.061661671847105026,-0.019483275711536407,0.0900399386882782,0.08418110758066177,0.1154412105679512,-0.05544563755393028
11,0.03975915163755417,0.0891510546207428,0.040152519941329956,0.10804066061973572,0.155528262257576,0.236063614487648
12,0.18880949914455414,0.0757116749882698,0.12076383829116821,0.02359134890139103,0.18684126436710358,0.0901612862944603
13,0.027443761005997658,0.05453934147953987,-0.03158252313733101,0.060321927070617676,0.20624735951423645,0.15624845027923584
14,0.0038274736143648624,0.0334792360663414,0.055401310324668884,0.05235922336578369,0.0989423394203186,0.19734781980514526
15,0.059106167405843735,0.04629199206829071,0.15829655528068542,0.01929229125380516,0.2522464096546173,0.27387070655822754
16,-0.04048440232872963,0.11184865236282349,0.07986810803413391,-0.0820549800992012,0.23361681401729584,0.11405683308839798
17,0.12766869366168976,-0.01594415120780468,0.04995676130056381,0.09493793547153473,0.1838102489709854,0.12838684022426605
18,0.0735858753323555,0.02570556476712227,-0.0069478219375014305,-0.09155194461345673,0.11013196408748627,0.1708669364452362
19,0.1026502400636673,0.03385434299707413,-0.038592927157878876,0.06483694165945053,0.32885873317718506,0.04597125202417374
20,0.08480069041252136,0.15819713473320007,-0.024027135223150253,0.06783230602741241,0.08618652820587158,0.11017885059118271
21,0.05862506106495857,0.10334336757659912,0.01889963261783123,0.1422705203294754,0.004695960786193609,-0.019145453348755836
22,0.06963323801755905,0.1344892829656601,0.03166656196117401,0.06423437595367432,0.10757777839899063,0.15388938784599304
23,0.03691622614860535,0.04363198205828667,0.06452850997447968,0.09215600043535233,0.20404547452926636,-0.09975545853376389
24,0.13867603242397308,0.14606118202209473,0.03659456968307495,0.2844100892543793,0.13856877386569977,0.18924257159233093
25,0.055246107280254364,-0.0710841491818428,0.02665715478360653,0.08863852173089981,0.18249717354774475,0.02639847621321678
26,0.07082654535770416,0.14220331609249115,0.09076248854398727,0.2929753065109253,0.06947873532772064,0.08723561465740204
27,0.089394710958004,0.029919758439064026,0.10040949285030365,0.26063093543052673,0.18335244059562683,0.025271043181419373
